Rose Roché vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
500,Rampardos,35,72,-27,5,-28,-2,7951
501,Shieldon,-32,-51,31,-18,10,-30,5910
502,Bastiodon,-2,-41,81,-13,60,-30,12915
503,Burmy,-22,-64,-42,-31,-33,-24,8970
504,Wormadam (Plant Cloak),-2,-34,-2,19,27,-24,2830
505,Wormadam (Sandy Cloak),-2,-14,18,-1,7,-24,1150
506,Wormadam (Trash Cloak),-2,-24,8,9,17,-24,1590
507,Mothim,8,1,-37,34,-28,6,3410
508,Combee,-32,-63,-45,-30,-36,10,9314
509,Vespiquen,8,-13,15,20,24,-20,1834
510,Pachirisu,-2,-48,-17,-15,12,35,4191
511,Buizel,-7,-28,-52,0,-48,25,6466
512,Floatzel,23,12,-32,25,-28,55,6131
513,Cherubi,-17,-58,-42,2,-25,-25,6671
514,Cherrim,8,-33,-17,27,0,25,2796
515,Shellos,14,-45,-39,-3,-16,-26,4683
516,Gastrodon,49,-10,-19,32,4,-21,4343
517,Ambipom,13,7,-21,0,-12,55,3828
518,Drifloon,28,-43,-53,0,-34,10,6698
519,Drifblim,88,-13,-43,30,-24,20,11638
520,Buneary,-7,-27,-43,-16,-22,25,3992
521,Lopunny,3,-17,-3,-6,18,45,2692
522,Lopunny (Mega Lopunny),3,43,7,-6,18,75,7892
523,Mismagius,-2,-33,-27,45,27,45,6601
524,Honchkrow,38,32,-35,45,-26,11,6515
525,Glameow,-13,-38,-45,-18,-41,25,6268
526,Purugly,9,-11,-23,4,-19,52,3812
527,Chingling,-17,-63,-37,5,-28,-15,6661
528,Stunky,1,-30,-40,-19,-37,14,4427
529,Skuntank,41,0,-20,11,-17,24,3067
530,Bronzor,-5,-69,-1,-36,8,-37,7516
531,Bronzong,5,-4,29,19,38,-27,3416
532,Bonsly,-12,-13,8,-50,-33,-50,6466
533,Mime Jr.,-42,-68,-42,10,12,0,8396
534,Happiny,38,-88,-82,-45,-13,-30,19006
535,Chatot,14,-28,-42,32,-36,31,6025
536,Spiritomb,-12,-1,21,32,30,-25,3135
537,Gible,-4,-23,-42,-20,-33,-18,4122
538,Gabite,6,-3,-22,-10,-23,22,1642
539,Garchomp,46,37,8,20,7,42,5762
540,Garchomp (Mega Garchomp),46,77,28,60,17,32,13742
541,Munchlax,73,-8,-47,-20,7,-55,11076
542,Riolu,-22,-23,-47,-25,-38,0,5291
543,Lucario,8,17,-17,55,-8,30,4631
544,Lucario (Mega Lucario),8,52,1,80,-8,52,11937
545,Hippopotas,6,-21,-9,-22,-36,-28,3122
546,Hippowdon,46,19,31,8,-6,-13,3707
547,Skorupi,-22,-43,3,-30,-23,5,3796
548,Drapion,8,-3,23,0,-3,35,1836
549,Croagunk,-14,-32,-47,1,-38,-10,4974
550,Toxicroak,21,13,-22,26,-13,25,2564
551,Carnivine,12,7,-15,30,-6,-14,1550
552,Finneon,-13,-44,-31,-11,-17,6,3512
553,Lumineon,7,-24,-11,9,8,31,1852
554,Mantyke,-17,-73,-37,0,42,-10,8851
555,Snover,-2,-31,-37,2,-18,-20,3062
556,Abomasnow,28,-1,-12,32,7,0,2002
557,Abomasnow (Mega Abomasnow),28,39,18,72,27,-30,9442
558,Weavile,8,27,-22,-15,7,65,5776
559,Magnezone,8,-23,28,70,12,0,6421
560,Lickilicky,48,-8,8,20,17,-10,3221
561,Rhyperior,53,47,43,-5,-23,-20,7821
562,Tangrowth,38,7,38,50,-28,-10,6321
563,Electivire,13,30,-20,35,7,35,3968
564,Magmortar,13,2,-20,65,17,23,5616
565,Togekiss,23,-43,8,60,37,20,7811
566,Yanmega,24,-17,-1,56,-22,35,5711
567,Leafeon,3,17,43,0,-13,35,3541
568,Glaceon,3,-33,23,70,17,5,6841
569,Gliscor,13,2,38,-15,-3,35,3076
570,Mamoswine,48,37,-7,10,-18,20,4546
571,Porygon-Z,23,-13,-17,75,-3,30,7521
572,Gallade,6,32,-22,5,37,20,3338
573,Gallade (Mega Gallade),6,72,8,5,37,50,9178
574,Probopass,-2,-38,58,15,72,-20,10621
575,Dusknoir,-17,7,48,5,57,-15,6141
576,Froslass,8,-13,-17,20,-8,50,3486
577,Rotom,-12,-43,-10,35,-1,31,4280
578,Rotom (Heat Rotom),-12,-28,20,45,29,26,4870
579,Rotom (Wash Rotom),-12,-28,20,45,29,26,4870
580,Rotom (Frost Rotom),-12,-28,20,45,29,26,4870
581,Rotom (Fan Rotom),-12,-28,20,45,29,26,4870
582,Rotom (Mow Rotom),-12,-28,20,45,29,26,4870
583,Uxie,13,-18,43,15,52,35,6496
584,Mesprit,18,12,18,45,27,20,3946
585,Azelf,13,32,-17,65,-8,55,8796
586,Dialga,38,27,33,90,22,30,12746
587,Dialga (Origin Forme),38,7,33,90,42,30,13346
588,Palkia,28,27,13,90,42,40,13146
589,Palkia (Origin Forme),28,7,13,90,42,60,14466
590,Heatran,29,-3,19,70,28,17,7184
591,Regigigas,48,67,23,20,32,40,10346
592,Giratina (Altered Forme),88,7,33,40,42,30,13146
593,Giratina (Origin Forme),88,27,13,60,22,30,13626
594,Cresselia,58,-23,33,15,52,25,8536
595,Phione,18,-13,-7,20,2,20,1346
596,Manaphy,38,7,13,40,22,40,5346
597,Darkrai,8,-3,3,75,12,65,10076
598,Shaymin (Land Forme),38,7,13,40,22,40,5346
599,Shaymin (Sky Forme),38,10,-12,60,-3,67,9786
600,Arceus,58,27,33,60,42,60,14146
601,Victini,38,7,13,40,22,40,5346
602,Snivy,-17,-48,-32,-15,-23,3,4380
603,Servine,-2,-33,-12,0,-3,23,1775
604,Serperior,13,-18,8,15,17,53,3880
605,Tepig,3,-30,-42,-15,-33,-15,4212
606,Pignite,28,0,-32,10,-23,-5,2462
607,Emboar,48,30,-22,40,-13,5,5482
608,Oshawott,-7,-38,-42,3,-33,-15,4580
609,Dewott,13,-18,-27,23,-18,0,2075
610,Samurott,33,7,-2,48,-8,10,3610
611,Samurott (Hisuian Samurott),28,15,-7,40,-13,25,3452
612,Patrat,-17,-38,-48,-25,-39,-18,6507
613,Watchog,-2,-8,-18,0,-9,17,762
614,Lillipup,-17,-33,-42,-35,-33,-5,5481
615,Herdier,3,-13,-22,-25,-13,0,1456
616,Stoutland,23,17,3,-15,12,20,1596
617,Purrloin,-21,-43,-50,-10,-41,6,6607
618,Liepard,2,-5,-37,28,-28,46,5082
619,Pansage,-12,-40,-39,-7,-30,4,4230
620,Simisage,13,5,-24,38,-15,41,4120
621,Pansear,-12,-40,-39,-7,-30,4,4230
622,Simisear,13,5,-24,38,-15,41,4120
623,Panpour,-12,-40,-39,-7,-30,4,4230
624,Simipour,13,5,-24,38,-15,41,4120
625,Munna,14,-68,-42,7,-23,-36,8458
626,Musharna,54,-38,-2,47,17,-31,7823
627,Pidove,-12,-38,-37,-24,-48,-17,6126
628,Tranquill,0,-16,-25,-10,-36,5,2302
629,Unfezant,18,22,-7,5,-23,33,2500
630,Blitzle,-17,-33,-55,-10,-46,16,6875
631,Zebstrika,13,7,-24,20,-15,56,4555
632,Roggenrola,-7,-18,-2,-35,-53,-45,6436
633,Boldore,8,12,18,-10,-38,-40,3676
634,Gigalith,23,42,43,0,2,-35,5371
635,Woobat,3,-48,-44,-5,-35,12,5643
636,Swoobat,5,-36,-32,17,-23,54,6079
637,Drilbur,-2,-8,-47,-30,-33,8,4330
638,Excadrill,48,42,-27,-10,-13,28,5850
639,Audino,41,-33,-1,0,8,-10,2935
640,Audino (Mega Audino),41,-33,39,20,48,-10,7095
641,Timburr,13,-13,-32,-35,-43,-25,5061
642,Gurdurr,23,12,-2,-20,-28,-20,2261
643,Conkeldurr,43,47,8,-5,-13,-15,4541
644,Tympole,-12,-43,-47,-10,-38,4,5762
645,Palpitoad,13,-28,-32,5,-23,9,2612
646,Seismitoad,43,2,-12,25,-3,14,2827
647,Throh,58,7,-2,-30,7,-15,4591
648,Sawk,13,32,-12,-30,-3,25,2871
649,Sewaddle,-17,-40,-17,-20,-18,-18,3226
650,Swadloon,-7,-30,3,-10,2,-18,1386
651,Leavanny,13,10,-7,10,2,32,1446
652,Venipede,-32,-48,-28,-30,-39,-3,6542
653,Whirlipede,-22,-38,12,-20,1,-13,2642
654,Scolipede,-2,7,2,-5,-9,52,2867
655,Cottonee,-22,-66,-27,-23,-28,6,6918
656,Whimsicott,-2,-26,-2,17,-3,56,4118
657,Petilil,-17,-58,-37,10,-28,-30,6806
658,Lilligant,8,-33,-12,50,-3,30,4706
659,Lilligant (Hisuian Lilligant),8,12,-12,-10,-3,45,2486
660,Basculin,8,-1,-22,20,-23,38,2922
661,Sandile,-12,-21,-52,-25,-43,5,5788
662,Krokorok,-2,-11,-42,-15,-33,14,3399
663,Krookodile,33,24,-7,5,-8,32,2827
664,Darumaka,8,-3,-42,-45,-33,-10,5051
665,Darumaka (Galarian Darumaka),8,-3,-42,-45,-33,-10,5051
666,Darmanitan (Standard Mode),43,47,-32,-30,-23,35,7736
667,Darmanitan (Zen Mode),43,-63,18,80,27,-5,13296
668,Darmanitan (Galarian Standard Mode),43,47,-32,-30,-23,35,7736
669,Darmanitan (Galarian Zen Mode),43,67,-32,-30,-23,75,14416
670,Maractus,13,-7,-20,46,-11,0,2855
671,Dwebble,-12,-28,-2,-25,-43,-5,3431
672,Crustle,8,12,38,5,-3,-15,1911
673,Scraggy,-12,-18,-17,-25,-8,-12,1590
674,Scrafty,3,-3,28,-15,37,-2,2400
675,Sigilyph,10,-35,-7,43,2,37,4596
676,Yamask,-24,-63,-2,-5,-13,-30,5643
677,Yamask (Galarian Yamask),-24,-38,-2,-30,-13,-30,3993
678,Cofagrigus,-4,-43,58,35,27,-30,8083
679,Tirtouga,-8,-15,16,-7,-33,-38,3127
680,Carracosta,12,15,46,23,-13,-28,3967
681,Archen,-7,19,-42,14,-33,10,3559
682,Archeops,13,47,-22,52,-13,50,8235
683,Trubbish,-12,-43,-25,-20,-16,5,3299
684,Garbodor,18,2,-5,0,4,15,594
685,Zorua,-22,-28,-47,20,-38,5,5346
686,Zorua (Hisuian Zorua),-27,-33,-47,25,-38,10,6196
687,Zoroark,-2,12,-27,60,-18,45,6826
688,Zoroark (Hisuian Zoroark),-7,7,-27,65,-18,50,7876
689,Minccino,-7,-43,-47,-20,-38,15,6176
690,Cinccino,13,2,-27,5,-18,55,4276
691,Gothita,-17,-63,-37,-5,-13,-15,6046
692,Gothorita,-2,-48,-17,15,7,-5,2896
693,Gothitelle,8,-38,8,35,32,5,3846
694,Solosis,-17,-63,-47,45,-28,-40,10876
695,Duosion,3,-53,-37,65,-18,-30,9636
696,Reuniclus,48,-28,-12,65,7,-30,8406
697,Ducklett,0,-49,-37,-16,-28,-5,4835
698,Swanna,13,-6,-24,27,-15,38,3179
699,Vanillite,-26,-43,-37,5,-18,-16,4499
700,Vanillish,-11,-28,-22,20,-3,-1,1799
701,Vanilluxe,9,2,-2,50,17,19,3239
702,Deerling,-2,-33,-37,-20,-28,15,3871
703,Sawsbuck,18,7,-17,0,-8,35,1951
704,Emolga,-7,-18,-27,15,-18,43,3500
705,Karrablast,-12,-18,-42,-20,-33,0,3721
706,Escavalier,8,42,18,0,27,-40,4481
707,Foongus,7,-38,-42,-5,-23,-45,5836
708,Amoonguss,52,-8,-17,25,2,-30,4586
709,Frillish,-7,-53,-37,5,7,-20,4701
710,Jellicent,38,-33,-17,25,27,0,4176
711,Alomomola,103,-18,-7,-20,-33,5,12496
712,Joltik,-12,-46,-37,-3,-28,5,4447
713,Galvantula,8,-16,-27,37,-18,48,5046
714,Ferroseed,-18,-43,4,-36,8,-50,6049
715,Ferrothorn,12,1,44,-6,38,-40,5161
716,Klink,-22,-38,-17,-15,-18,-30,3666
717,Klang,-2,-13,8,10,7,-10,486
718,Klinklang,-2,7,28,10,7,30,1886
719,Tynamo,-27,-38,-47,-15,-38,0,6051
720,Eelektrik,3,-8,-17,15,-8,-20,1051
721,Eelektross,23,22,-7,45,2,-10,3191
722,Elgyem,-7,-38,-32,25,-23,-30,4571
723,Beheeyem,13,-18,-12,65,17,-20,5551
724,Litwick,-12,-63,-32,5,-23,-40,7291
725,Lampent,-2,-53,-27,35,-18,-5,5116
726,Chandelure,-2,-38,3,85,12,20,9226
727,Axew,-16,-6,-27,-30,-38,-3,3374
728,Fraxure,4,24,-17,-20,-28,7,2114
729,Haxorus,14,54,3,0,-8,37,4554
730,Cubchoo,-7,-23,-47,0,-38,-20,4631
731,Beartic,33,37,-7,10,2,-10,2711
732,Cryogonal,18,-43,-37,35,57,45,10041
733,Shelmet,-12,-53,-2,-20,-13,-35,4751
734,Accelgor,18,-23,-47,40,-18,85,12211
735,Stunfisk,47,-27,-3,21,21,-28,4613
736,Stunfisk (Galarian Stunfisk),47,-12,12,6,6,-28,3353
737,Mienfoo,-17,-8,-37,-5,-28,5,2556
738,Mienshao,3,32,-27,35,-18,45,5336
739,Druddigon,15,27,3,0,12,-12,1251
740,Golett,-3,-19,-37,-25,-28,-25,3773
741,Golurk,27,31,-7,-5,2,-5,1793
742,Pawniard,-17,-8,-17,-20,-38,0,2486
743,Bisharp,3,32,13,0,-8,10,1366
744,Bouffalant,33,17,8,-20,17,-5,2156
745,Rufflet,8,-10,-37,-23,-28,0,2846
746,Braviary,38,30,-12,-3,-3,20,2906
747,Braviary (Hisuian Braviary),48,-10,-17,52,-8,5,5486
748,Vullaby,8,-38,-12,-15,-13,0,2046
749,Mandibuzz,48,-28,18,-5,17,20,4126
750,Heatmor,23,4,-21,45,-12,5,3180
751,Durant,-4,16,25,-12,-30,49,4342
752,Deino,-10,-28,-37,-15,-28,-22,3746
753,Zweilous,10,-8,-17,5,-8,-2,546
754,Hydreigon,30,12,3,65,12,38,6866
755,Larvesta,-7,-8,-32,-10,-23,0,1766
756,Volcarona,23,-33,-22,75,27,40,10056
757,Cobalion,29,-3,42,30,-6,48,5854
758,Terrakion,29,36,3,12,12,48,4738
759,Virizion,29,-3,-15,30,51,48,6880
760,Tornadus (Incarnate Forme),17,22,-17,65,2,51,7892
761,Tornadus (Therian Forme),17,7,-7,50,12,61,6752
762,Thundurus (Incarnate Forme),17,22,-17,65,2,51,7892
763,Thundurus (Therian Forme),17,12,-17,85,2,41,9632
764,Reshiram,38,27,13,90,42,30,13106
765,Zekrom,38,57,33,60,22,30,10766
766,Landorus (Incarnate Forme),27,32,3,55,2,41,6472
767,Landorus (Therian Forme),27,52,3,45,2,31,6432
768,Kyurem,63,37,3,70,12,35,11616
769,Kyurem (Black Kyurem),63,77,13,60,12,35,15036
770,Kyurem (White Kyurem),63,27,3,110,22,35,18516
771,Keldeo,29,-21,3,69,12,48,8500
772,Meloetta (Aria Forme),38,-16,-10,68,50,30,9824
773,Meloetta (Pirouette Forme),38,35,3,17,-1,68,7592
774,Genesect,9,27,8,60,17,39,6284
775,Chespin,-6,-32,-22,-12,-33,-22,3261
776,Quilladin,-1,-15,8,-4,-20,-3,715
777,Chesnaught,26,14,35,14,-3,4,2318
778,Fennekin,-22,-48,-47,2,-18,0,5325
779,Braixen,-3,-34,-29,30,-8,13,3139
780,Delphox,13,-24,-15,54,22,44,6306
781,Froakie,-21,-37,-47,2,-34,11,5300
782,Frogadier,-8,-30,-35,23,-22,37,4571
783,Greninja,10,2,-20,43,-7,62,6246
784,Greninja (Ash-Greninja),10,52,-20,93,-7,72,17086
785,Bunnelby,-24,-57,-49,-28,-42,-3,8783
786,Diggersby,23,-37,-10,-10,-1,18,2423
787,Fletchling,-17,-43,-44,-20,-40,2,6078
788,Fletchinder,0,-20,-32,-4,-26,24,2692
789,Talonflame,16,-12,-16,14,-9,66,5289
790,Scatterbug,-24,-58,-47,-33,-53,-25,10672
791,Spewpa,-17,-71,-27,-33,-48,-31,10413
792,Vivillon,18,-41,-37,30,-28,29,5899
793,Litleo,0,-43,-29,13,-24,12,3579
794,Pyroar,24,-25,-15,49,-12,46,6087
795,Flabébé,-18,-55,-48,1,1,-18,5979
796,Floette,-8,-48,-40,15,20,-8,4657
797,Florges,16,-28,-19,52,76,15,10106
798,Skiddo,4,-28,-39,2,-21,-8,2830
799,Gogoat,61,7,-25,37,3,8,5837
800,Pancham,5,-11,-25,-14,-30,-17,2156
801,Pangoro,33,31,-9,9,-7,-2,2265
802,Furfrou,13,-13,-27,5,12,42,3000
803,Espurr,0,-45,-33,3,-18,8,3511
804,Meowstic,12,-45,-11,23,3,44,4764
805,Honedge,-17,-13,13,-25,-41,-32,3957
806,Doublade,-3,17,63,-15,-29,-25,5958
807,Aegislash (Shield Forme),-2,-43,53,-10,62,0,8606
808,Aegislash (Blade Forme),-2,47,-37,80,-28,0,10766
809,Spritzee,16,-41,-27,3,-13,-37,4213
810,Aromatisse,39,-21,-15,39,11,-31,4790
811,Swirlix,0,-45,-21,-1,-21,-11,3029
812,Slurpuff,20,-13,-1,25,-3,12,1348
813,Inkay,-9,-39,-34,-23,-32,-15,4536
814,Malamar,24,-1,1,8,-3,13,820
815,Binacle,-20,-41,-20,-21,-22,-10,3506
816,Barbaracle,10,12,28,-6,8,8,1192
817,Skrelp,-12,-33,-27,0,-18,-30,3186
818,Dragalge,3,-18,3,37,45,-16,3992
819,Clauncher,-12,-40,-25,-2,-15,-16,2854
820,Clawitzer,9,-20,1,60,11,-1,4204
821,Helioptile,-18,-55,-54,1,-35,10,7591
822,Heliolisk,0,-38,-35,49,16,49,7727
823,Tyrunt,-4,-4,-10,-15,-33,-12,1590
824,Tyrantrum,20,28,32,9,-19,11,2771
825,Amaura,15,-34,-37,7,-15,-14,3220
826,Aurorus,61,-16,-15,39,14,-2,5923
827,Sylveon,33,-28,-22,50,52,0,7561
828,Hawlucha,16,-1,-12,14,-15,58,4186
829,Dedenne,5,-35,-30,21,-11,41,4393
830,Carbink,-12,-43,63,-10,72,-10,11346
831,Goomy,-17,-43,-52,-5,-3,-20,5276
832,Sliggoo,6,-18,-34,23,35,0,3270
833,Sliggoo (Hisuian Sliggoo),-4,-18,-4,23,35,-20,2510
834,Goodra,28,7,-17,50,72,20,9206
835,Goodra (Hisuian Goodra),18,7,13,50,72,0,8226
836,Klefki,-5,-13,4,20,9,15,916
837,Phantump,-19,-23,-39,-10,-18,-22,3319
838,Trevenant,23,17,-11,5,4,-4,996
839,Pumpkaboo (Small Size),-18,-27,-17,-16,-23,-4,2143
840,Pumpkaboo (Average Size),-13,-27,-17,-16,-23,-9,2053
841,Pumpkaboo (Large Size),-8,-27,-17,-16,-23,-14,2063
842,Pumpkaboo (Super Size),-3,-27,-17,-16,-23,-19,2173
843,Gourgeist (Small Size),-7,-8,35,-2,-3,39,2872
844,Gourgeist (Average Size),3,-3,35,-2,-3,24,1832
845,Gourgeist (Large Size),13,2,35,-2,-3,9,1492
846,Gourgeist (Super Size),23,7,35,-2,-3,-6,1852
847,Bergmite,-7,-24,-2,-28,-43,-32,4286
848,Avalugg,33,24,97,-16,-32,-32,13378
849,Avalugg (Hisuian Avalugg),33,34,97,-26,-42,-22,14578
850,Noibat,-22,-63,-52,-15,-38,-5,8851
851,Noivern,23,-23,-7,37,2,63,6449
852,Xerneas,64,38,8,71,20,39,12566
853,Yveltal,64,38,8,71,20,39,12566
854,Zygarde (50% Forme),46,7,34,21,17,35,5276
855,Zygarde (10% Forme),-8,7,-16,1,7,55,3444
856,Zygarde (Complete Forme),154,7,34,31,17,25,26796
857,Diancie,-12,7,63,40,72,-10,11046
858,Diancie (Mega Diancie),-12,67,23,100,32,50,18686
859,Hoopa (Hoopa Confined),18,17,-27,90,52,10,12246
860,Hoopa (Hoopa Unbound),18,67,-27,110,52,20,20746
861,Volcanion,18,17,33,70,12,10,6846
862,Rowlet,6,-38,-32,-10,-28,-18,3712
863,Dartrix,16,-18,-12,10,-8,-8,952
864,Decidueye,16,14,-12,40,22,10,2780
865,Decidueye (Hisuian Decidueye),26,19,-7,35,17,0,2600
866,Litten,-17,-28,-47,0,-38,10,4826
867,Torracat,3,-8,-37,20,-28,30,3526
868,Incineroar,33,22,3,20,12,0,2126
869,Popplio,-12,-39,-33,6,-22,-20,3674
870,Brionne,-2,-24,-18,31,3,-10,1974
871,Primarina,18,-19,-13,66,38,0,6654
872,Pikipek,-27,-18,-57,-30,-48,5,7531
873,Trumbeak,-7,-8,-37,-20,-28,15,2891
874,Toucannon,18,27,-12,15,-3,0,1431
875,Yungoos,-14,-23,-57,-30,-48,-15,7403
876,Gumshoos,26,17,-27,-5,-18,-15,2268
877,Grubbin,-15,-31,-42,-5,-33,-14,4260
878,Charjabug,-5,-11,8,-5,-3,-24,820
879,Vikavolt,15,-23,3,85,-3,-17,8286
880,Crabrawler,-15,-11,-30,-18,-31,3,2540
881,Crabominable,35,39,-10,2,-11,-17,3260
882,Oricorio,13,-23,-17,38,-8,33,3584
883,Cutiefly,-22,-48,-47,-5,-38,24,7042
884,Ribombee,-2,-38,-27,35,-8,64,7562
885,Rockruff,-17,-28,-47,-30,-38,0,5626
886,Lycanroc (Midday Form),13,22,-22,-5,-13,52,4035
887,Lycanroc (Midnight Form),23,22,-12,-5,-3,22,1675
888,Lycanroc (Dusk Form),13,24,-22,-5,-13,50,3923
889,Wishiwashi (Solo Form),-17,-73,-67,-35,-53,-20,14541
890,Wishiwashi (School Form),-17,47,43,80,57,-30,14896
891,Mareanie,-12,-40,-25,-17,-26,-15,3559
892,Toxapex,-12,-30,65,-7,64,-25,10039
893,Mudbray,8,7,-17,-15,-23,-15,1381
894,Mudsdale,38,32,13,-5,7,-25,3336
895,Dewpider,-24,-53,-35,-20,-6,-33,6135
896,Araquanid,6,-23,5,-10,54,-18,3930
897,Fomantis,-22,-38,-52,-10,-43,-25,7206
898,Lurantis,8,12,3,20,12,-15,986
899,Morelull,-22,-58,-32,5,-3,-45,6931
900,Shiinotic,-2,-48,-7,30,22,-30,4641
901,Salandit,-14,-49,-47,11,-38,17,6660
902,Salazzle,6,-29,-27,51,-18,57,7780
903,Stufful,8,-18,-37,-15,-28,-10,2866
904,Bewear,58,32,-7,-5,-18,0,4786
905,Bounsweet,-20,-63,-49,-30,-40,-28,10054
906,Steenee,-10,-53,-39,-20,-30,2,5734
907,Tsareena,10,27,11,-10,20,12,1594
908,Comfey,-11,-41,3,22,32,40,4919
909,Oranguru,28,-33,-7,30,32,0,3846
910,Passimian,38,27,3,-20,-18,20,3306
911,Wimpod,-37,-58,-47,-40,-48,20,11246
912,Golisopod,13,32,53,0,12,-20,4546
913,Sandygast,-7,-38,-7,10,-33,-45,4756
914,Palossand,23,-18,23,40,-3,-25,3616
915,Pyukumuku,-7,-33,43,-30,52,-55,9616
916,Type: Null,33,2,8,35,17,-1,2672
917,Silvally,33,2,8,35,17,35,3896
918,Minior (Meteor Form),-2,-33,13,0,22,0,1746
919,Minior (Core),-2,7,-27,40,-18,60,6306
920,Komala,3,22,-22,15,17,5,1516
921,Turtonator,-2,-15,48,31,7,-24,4119
922,Togedemaru,3,5,-24,-20,-5,36,2331
923,Mimikyu,-7,-3,-7,-10,27,36,2232
924,Bruxish,6,12,-17,10,-8,32,1657
925,Drampa,16,-33,-2,75,13,-24,7719
926,Dhelmise,8,38,13,26,12,-20,2897
927,Jangmo-o,-17,-38,-22,-15,-33,-15,3756
928,Hakamo-o,-7,-18,3,5,-8,5,496
929,Kommo-o,13,17,38,40,27,25,4856
930,Tapu Koko,8,22,-2,35,-3,70,6686
931,Tapu Lele,8,-8,-12,70,37,35,7766
932,Tapu Bulu,8,37,28,25,17,15,3356
933,Tapu Fini,8,-18,28,35,52,25,5726
934,Cosmog,-19,-64,-56,-31,-47,-23,11292
935,Cosmoem,-19,-64,44,-31,53,-23,10692
936,Solgaleo,75,44,20,53,11,37,12260
937,Lunala,75,20,2,77,29,37,14168
938,Nihilego,47,-40,-40,67,53,43,14556
939,Buzzwole,45,46,52,-7,-25,19,7880
940,Pheromosa,9,44,-50,77,-41,91,20408
941,Xurkitree,21,-4,-16,113,-7,23,14060
942,Celesteela,35,8,16,47,23,1,4284
943,Kartana,-3,88,44,-1,-47,49,14300
944,Guzzlord,161,8,-34,37,-25,-17,29424
945,Necrozma,35,14,14,67,11,19,6588
946,Necrozma (Dusk Mane Necrozma),35,64,40,53,31,17,10980
947,Necrozma (Dawn Wings Necrozma),35,20,22,97,49,17,14208
948,Necrozma (Ultra Necrozma),35,74,10,107,19,69,23372
949,Magearna,18,2,28,70,37,5,7406
950,Marshadow,28,32,-7,30,12,65,7126
951,Poipole,5,-20,-20,13,-11,13,1284
952,Naganadel,11,-20,-14,67,-5,61,8952
953,Stakataka,-1,38,124,-7,23,-47,19608
954,Blacephalon,-9,34,-34,91,1,47,12884
955,Zeraora,26,19,-12,42,2,83,9838
956,Meltan,-16,-28,-22,-5,-43,-26,4074
957,Melmetal,73,50,56,20,-13,-26,12210
958,Grookey,-12,-28,-37,-20,-38,5,4166
959,Thwackey,8,-8,-17,-5,-18,20,1166
960,Rillaboom,38,32,3,0,-8,25,3166
961,Scorbunny,-12,-22,-47,-20,-38,9,4762
962,Raboot,3,-7,-27,-5,-18,34,2292
963,Cinderace,18,23,-12,5,-3,59,4512
964,Sobble,-12,-53,-47,10,-38,10,6806
965,Drizzile,3,-33,-32,35,-23,30,4776
966,Inteleon,8,-8,-22,65,-13,60,8606
967,Skwovet,8,-38,-32,-25,-43,-35,6231
968,Greedent,58,2,8,-5,-3,-40,5066
969,Rookidee,-24,-46,-52,-27,-43,-3,7983
970,Corvisquire,6,-26,-32,-17,-23,17,2843
971,Corviknight,36,-6,18,-7,7,7,1803
972,Blipbug,-37,-73,-67,-35,-33,-15,13726
973,Dottler,-12,-58,-7,-10,12,-30,4701
974,Orbeetle,-2,-48,23,20,42,30,5901
975,Nickit,-22,-65,-59,-13,-26,-10,9135
976,Thievul,8,-35,-29,27,14,30,3955
977,Gossifleur,-22,-53,-27,-20,-18,-50,7246
978,Eldegoss,-2,-43,3,20,42,0,4026
979,Wooloo,-20,-53,-32,-20,-33,-12,5866
980,Dubwool,10,-13,13,0,12,28,1366
981,Chewtle,-12,-29,-37,-22,-40,-16,4694
982,Drednaw,28,22,3,-12,-10,14,1717
983,Yamper,-3,-48,-37,-20,-28,-34,6022
984,Boltund,7,-3,-27,30,-18,61,5732
985,Rolycoly,-32,-53,-37,-20,-28,-30,7286
986,Carkol,18,-33,3,0,-8,-10,1586
987,Coalossal,48,-13,33,20,12,-30,5006
988,Applin,-22,-53,-7,-20,-38,-40,6786
989,Flapple,8,17,-7,35,-18,10,2051
990,Appletun,48,-8,-7,40,2,-30,4921
991,Silicobra,-10,-36,-12,-25,-28,-14,3145
992,Sandaconda,10,14,38,5,-8,11,1950
993,Cramorant,8,-8,-32,25,17,25,2691
994,Arrokuda,-21,-30,-47,-20,-48,6,6290
995,Barraskewda,-1,30,-27,0,-28,76,8190
996,Toxel,-22,-55,-52,-6,-43,-20,8498
997,Toxtricity,13,5,-17,54,-8,15,3688
998,Sizzlipede,-12,-28,-42,-10,-28,-15,3801
999,Centiskorch,38,22,-22,30,12,5,3481
1000,Clobbopus,-12,-25,-27,-10,-28,-28,3166
1001,Grapploct,18,25,3,10,2,-18,1386
1002,Sinistea,-22,-48,-42,14,-24,-10,5424
1003,Polteageist,-2,-28,-22,74,36,10,8144
1004,Hatenna,-20,-63,-42,-4,-25,-21,7215
1005,Hattrem,-5,-53,-22,26,-5,-11,4140
1006,Hatterene,-5,-3,8,76,25,-31,7460
1007,Impidimp,-17,-48,-57,-5,-38,-10,7411
1008,Morgrem,3,-33,-42,15,-23,10,3716
1009,Grimmsnarl,33,27,-22,35,-3,0,3536
1010,Obstagoon,31,-3,14,0,3,35,2400
1011,Perrserker,8,17,13,-10,-18,-10,1046
1012,Cursola,-2,2,-37,85,52,-30,12206
