Roman Ramirez vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
475,Deoxys (Attack Forme),-38,64,-100,68,-83,97,36462
476,Deoxys (Defense Forme),-38,-46,40,-42,57,37,11542
477,Deoxys (Speed Forme),-38,-21,-30,-17,-13,127,19372
478,Turtwig,-33,-48,-56,-67,-48,-22,13806
479,Grotle,-13,-27,-35,-57,-38,-17,7105
480,Torterra,7,-7,-15,-37,-18,3,2025
481,Chimchar,-44,-58,-76,-54,-59,8,17537
482,Monferno,-24,-38,-68,-34,-51,28,11185
483,Infernape,-12,-12,-49,-8,-32,55,6802
484,Piplup,-35,-65,-67,-51,-47,-13,14918
485,Prinplup,-24,-50,-52,-31,-27,-3,7479
486,Empoleon,-4,-30,-32,-1,-2,7,1994
487,Starly,-48,-61,-90,-82,-73,7,26227
488,Staravia,-33,-41,-70,-72,-63,27,17552
489,Staraptor,-3,4,-50,-62,-43,47,10427
490,Bidoof,-29,-71,-80,-77,-63,-22,22664
491,Bibarel,-9,-31,-60,-57,-43,18,10064
492,Kricketot,-51,-91,-79,-87,-62,-28,29320
493,Kricketune,-11,-31,-69,-57,-52,12,11940
494,Shinx,-43,-51,-86,-72,-69,-8,21855
495,Luxio,-28,-31,-71,-52,-54,7,12455
496,Luxray,-8,4,-41,-17,-24,17,2915
497,Budew,-48,-86,-85,-62,-33,2,21862
498,Roserade,-28,-46,-55,13,2,37,7467
499,Cranidos,-21,9,-80,-82,-73,5,19000
500,Rampardos,9,49,-60,-47,-53,5,11125
501,Shieldon,-58,-74,-2,-70,-15,-23,14498
502,Bastiodon,-28,-64,48,-65,35,-23,13163
503,Burmy,-48,-87,-75,-83,-58,-17,26040
504,Wormadam (Plant Cloak),-28,-57,-35,-33,2,-17,6640
505,Wormadam (Sandy Cloak),-28,-37,-15,-53,-18,-17,5800
506,Wormadam (Trash Cloak),-28,-47,-25,-43,-8,-17,5820
507,Mothim,-18,-22,-70,-18,-53,13,9010
508,Combee,-58,-86,-78,-82,-61,17,27578
509,Vespiquen,-18,-36,-18,-32,-1,-13,3138
510,Pachirisu,-28,-71,-50,-67,-13,42,14747
511,Buizel,-33,-51,-85,-52,-73,32,19972
512,Floatzel,-3,-11,-65,-27,-53,62,11737
513,Cherubi,-43,-81,-75,-50,-50,-18,19359
514,Cherrim,-18,-56,-50,-25,-25,32,8234
515,Shellos,-12,-68,-72,-55,-41,-19,15019
516,Gastrodon,23,-33,-52,-20,-21,-14,5359
517,Ambipom,-13,-16,-54,-52,-37,62,11258
518,Drifloon,2,-66,-86,-52,-59,17,18230
519,Drifblim,62,-36,-76,-22,-49,27,14530
520,Buneary,-33,-50,-76,-68,-47,32,17222
521,Lopunny,-23,-40,-36,-58,-7,52,9542
522,Lopunny (Mega Lopunny),-23,20,-26,-58,-7,82,11742
523,Mismagius,-28,-56,-60,-7,2,52,10277
524,Honchkrow,12,9,-68,-7,-51,18,7823
525,Glameow,-39,-61,-78,-70,-66,32,21606
526,Purugly,-17,-34,-56,-48,-44,59,12302
527,Chingling,-43,-86,-70,-47,-53,-8,19227
528,Stunky,-25,-53,-73,-71,-62,21,18089
529,Skuntank,15,-23,-53,-41,-42,31,7969
530,Bronzor,-31,-92,-34,-88,-17,-30,19514
531,Bronzong,-21,-27,-4,-33,13,-20,2844
532,Bonsly,-38,-36,-25,-102,-58,-43,18982
533,Mime Jr.,-68,-91,-75,-42,-13,7,20512
534,Happiny,12,-111,-115,-97,-38,-23,37072
535,Chatot,-12,-51,-75,-20,-61,38,13935
536,Spiritomb,-38,-24,-12,-20,5,-18,2913
537,Gible,-30,-46,-75,-72,-58,-11,17310
538,Gabite,-20,-26,-55,-62,-48,29,11090
539,Garchomp,20,14,-25,-32,-18,49,4970
540,Garchomp (Mega Garchomp),20,54,-5,8,-8,39,4990
541,Munchlax,47,-31,-80,-72,-18,-48,17382
542,Riolu,-48,-46,-80,-77,-63,7,20767
543,Lucario,-18,-6,-50,3,-33,37,5327
544,Lucario (Mega Lucario),-18,29,-32,28,-33,59,7543
545,Hippopotas,-20,-44,-42,-74,-61,-21,13738
546,Hippowdon,20,-4,-2,-44,-31,-6,3353
547,Skorupi,-48,-66,-30,-82,-48,12,16732
548,Drapion,-18,-26,-10,-52,-28,42,6352
549,Croagunk,-40,-55,-80,-51,-63,-3,17604
550,Toxicroak,-5,-10,-55,-26,-38,32,6294
551,Carnivine,-14,-16,-48,-22,-31,-7,4250
552,Finneon,-39,-67,-64,-63,-42,13,16008
553,Lumineon,-19,-47,-44,-43,-17,38,8088
554,Mantyke,-43,-96,-70,-52,17,-3,18967
555,Snover,-28,-54,-70,-50,-43,-13,13118
556,Abomasnow,2,-24,-45,-20,-18,7,3378
557,Abomasnow (Mega Abomasnow),2,16,-15,20,2,-23,1418
558,Weavile,-18,4,-55,-67,-18,72,13362
559,Magnezone,-18,-46,-5,18,-13,7,3007
560,Lickilicky,22,-31,-25,-32,-8,-3,3167
561,Rhyperior,27,24,10,-57,-48,-13,7127
562,Tangrowth,12,-16,5,-2,-53,-3,3247
563,Electivire,-13,7,-53,-17,-18,42,5404
564,Magmortar,-13,-21,-53,13,-8,30,4552
565,Togekiss,-3,-66,-25,8,12,27,5927
566,Yanmega,-2,-40,-34,4,-47,42,6749
567,Leafeon,-23,-6,10,-52,-38,42,6577
568,Glaceon,-23,-56,-10,18,-8,12,4297
569,Gliscor,-13,-21,5,-67,-28,42,7672
570,Mamoswine,22,14,-40,-42,-43,27,6622
571,Porygon-Z,-3,-36,-50,23,-28,37,6487
572,Gallade,-20,9,-55,-47,12,27,6588
573,Gallade (Mega Gallade),-20,49,-25,-47,12,57,9028
574,Probopass,-28,-61,25,-37,47,-13,8877
575,Dusknoir,-43,-16,15,-47,32,-8,5627
576,Froslass,-18,-36,-50,-32,-33,57,9482
577,Rotom,-38,-66,-43,-17,-26,38,10058
578,Rotom (Heat Rotom),-38,-51,-13,-7,4,33,5368
579,Rotom (Wash Rotom),-38,-51,-13,-7,4,33,5368
580,Rotom (Frost Rotom),-38,-51,-13,-7,4,33,5368
581,Rotom (Fan Rotom),-38,-51,-13,-7,4,33,5368
582,Rotom (Mow Rotom),-38,-51,-13,-7,4,33,5368
583,Uxie,-13,-41,10,-37,27,42,5812
584,Mesprit,-8,-11,-15,-7,2,27,1192
585,Azelf,-13,9,-50,13,-33,62,7852
586,Dialga,12,4,0,38,-3,37,2982
587,Dialga (Origin Forme),12,-16,0,38,17,37,3502
588,Palkia,2,4,-20,38,17,47,4362
589,Palkia (Origin Forme),2,-16,-20,38,17,67,6882
590,Heatran,3,-26,-14,18,3,24,1790
591,Regigigas,22,44,-10,-32,7,47,5802
592,Giratina (Altered Forme),62,-16,0,-12,17,37,5902
593,Giratina (Origin Forme),62,4,-20,8,-3,37,5702
594,Cresselia,32,-46,0,-37,27,32,6262
595,Phione,-8,-36,-40,-32,-23,27,5242
596,Manaphy,12,-16,-20,-12,-3,47,3162
597,Darkrai,-18,-26,-30,23,-13,72,7782
598,Shaymin (Land Forme),12,-16,-20,-12,-3,47,3162
599,Shaymin (Sky Forme),12,-13,-45,8,-28,74,8662
600,Arceus,32,4,0,8,17,67,5882
601,Victini,12,-16,-20,-12,-3,47,3162
602,Snivy,-43,-71,-65,-67,-48,10,18008
603,Servine,-28,-56,-45,-52,-28,30,10333
604,Serperior,-13,-41,-25,-37,-8,60,7508
605,Tepig,-23,-53,-75,-67,-58,-8,16880
606,Pignite,2,-23,-65,-42,-48,2,8830
607,Emboar,22,7,-55,-12,-38,12,5290
608,Oshawott,-33,-61,-75,-49,-58,-8,16264
609,Dewott,-13,-41,-60,-29,-43,7,8189
610,Samurott,7,-16,-35,-4,-33,17,2924
611,Samurott (Hisuian Samurott),2,-8,-40,-12,-38,32,4280
612,Patrat,-43,-61,-81,-77,-64,-11,22277
613,Watchog,-28,-31,-51,-52,-34,24,8782
614,Lillipup,-43,-56,-75,-87,-58,2,21547
615,Herdier,-23,-36,-55,-77,-38,7,12272
616,Stoutland,-3,-6,-30,-67,-13,27,6332
617,Purrloin,-47,-66,-83,-62,-66,13,21823
618,Liepard,-24,-28,-70,-24,-53,53,12454
619,Pansage,-38,-63,-72,-59,-55,11,17224
620,Simisage,-13,-18,-57,-14,-40,48,7842
621,Pansear,-38,-63,-72,-59,-55,11,17224
622,Simisear,-13,-18,-57,-14,-40,48,7842
623,Panpour,-38,-63,-72,-59,-55,11,17224
624,Simipour,-13,-18,-57,-14,-40,48,7842
625,Munna,-12,-91,-75,-45,-48,-29,19220
626,Musharna,28,-61,-35,-5,-8,-24,6395
627,Pidove,-38,-61,-70,-76,-73,-10,21270
628,Tranquill,-26,-39,-58,-62,-61,12,13270
629,Unfezant,-8,-1,-40,-47,-48,40,7778
630,Blitzle,-43,-56,-88,-62,-71,23,22143
631,Zebstrika,-13,-16,-57,-32,-40,63,10267
632,Roggenrola,-33,-41,-35,-87,-78,-38,19092
633,Boldore,-18,-11,-15,-62,-63,-33,9572
634,Gigalith,-3,19,10,-52,-23,-28,4487
635,Woobat,-23,-71,-77,-57,-60,19,18709
636,Swoobat,-21,-59,-65,-35,-48,61,15397
637,Drilbur,-28,-31,-80,-82,-58,15,18458
638,Excadrill,22,19,-60,-62,-38,35,10958
639,Audino,15,-56,-34,-52,-17,-3,7519
640,Audino (Mega Audino),15,-56,6,-32,23,-3,4959
641,Timburr,-13,-36,-65,-87,-68,-18,18207
642,Gurdurr,-3,-11,-35,-72,-53,-13,9517
643,Conkeldurr,17,24,-25,-57,-38,-8,6247
644,Tympole,-38,-66,-80,-62,-63,11,20134
645,Palpitoad,-13,-51,-65,-47,-48,16,11764
646,Seismitoad,17,-21,-45,-27,-28,21,4709
647,Throh,32,-16,-35,-82,-18,-8,9617
648,Sawk,-13,9,-45,-82,-28,32,10807
649,Sewaddle,-43,-63,-50,-72,-43,-11,15472
650,Swadloon,-33,-53,-30,-62,-23,-11,9292
651,Leavanny,-13,-13,-40,-42,-23,39,5752
652,Venipede,-58,-71,-61,-82,-64,4,22962
653,Whirlipede,-48,-61,-21,-72,-24,-6,12262
654,Scolipede,-28,-16,-31,-57,-34,59,9887
655,Cottonee,-48,-89,-60,-75,-53,13,22428
656,Whimsicott,-28,-49,-35,-35,-28,63,10388
657,Petilil,-43,-81,-70,-42,-53,-23,18412
658,Lilligant,-18,-56,-45,-2,-28,37,7642
659,Lilligant (Hisuian Lilligant),-18,-11,-45,-62,-28,52,9802
660,Basculin,-18,-24,-55,-32,-48,45,9278
661,Sandile,-38,-44,-85,-77,-68,12,21302
662,Krokorok,-28,-34,-75,-67,-58,21,15859
663,Krookodile,7,1,-40,-47,-33,39,6469
664,Darumaka,-18,-26,-75,-97,-58,-3,19407
665,Darumaka (Galarian Darumaka),-18,-26,-75,-97,-58,-3,19407
666,Darmanitan (Standard Mode),17,24,-65,-82,-48,42,15882
667,Darmanitan (Zen Mode),17,-86,-15,28,2,2,8702
668,Darmanitan (Galarian Standard Mode),17,24,-65,-82,-48,42,15882
669,Darmanitan (Galarian Zen Mode),17,44,-65,-82,-48,82,22202
670,Maractus,-13,-30,-53,-6,-36,7,5259
671,Dwebble,-38,-51,-35,-77,-68,2,15827
672,Crustle,-18,-11,5,-47,-28,-8,3527
673,Scraggy,-38,-41,-50,-77,-33,-5,12668
674,Scrafty,-23,-26,-5,-67,12,5,5888
675,Sigilyph,-16,-58,-40,-9,-23,44,7766
676,Yamask,-50,-86,-35,-57,-38,-23,16343
677,Yamask (Galarian Yamask),-50,-61,-35,-82,-38,-23,16143
678,Cofagrigus,-30,-66,25,-17,2,-23,6703
679,Tirtouga,-34,-38,-17,-59,-58,-31,10695
680,Carracosta,-14,-8,13,-29,-38,-21,3155
681,Archen,-33,-4,-75,-38,-58,17,11827
682,Archeops,-13,24,-55,0,-38,57,8463
683,Trubbish,-38,-66,-58,-72,-41,12,16173
684,Garbodor,-8,-21,-38,-52,-21,22,5578
685,Zorua,-48,-51,-80,-32,-63,12,16442
686,Zorua (Hisuian Zorua),-53,-56,-80,-27,-63,17,17332
687,Zoroark,-28,-11,-60,8,-43,52,9122
688,Zoroark (Hisuian Zoroark),-33,-16,-60,13,-43,57,10212
689,Minccino,-33,-66,-80,-72,-63,22,21482
690,Cinccino,-13,-21,-60,-47,-43,62,12112
691,Gothita,-43,-86,-70,-57,-38,-8,18902
692,Gothorita,-28,-71,-50,-37,-18,2,10022
693,Gothitelle,-18,-61,-25,-17,7,12,5152
694,Solosis,-43,-86,-80,-7,-53,-33,19592
695,Duosion,-23,-76,-70,13,-43,-23,13752
696,Reuniclus,22,-51,-45,13,-18,-23,6132
697,Ducklett,-26,-72,-70,-68,-53,2,18197
698,Swanna,-13,-29,-57,-25,-40,45,8509
699,Vanillite,-52,-66,-70,-47,-43,-9,16099
700,Vanillish,-37,-51,-55,-32,-28,6,8839
701,Vanilluxe,-17,-21,-35,-2,-8,26,2699
702,Deerling,-28,-56,-70,-72,-53,22,17297
703,Sawsbuck,-8,-16,-50,-52,-33,42,8377
704,Emolga,-33,-41,-60,-37,-43,50,12088
705,Karrablast,-38,-41,-75,-72,-58,7,17347
706,Escavalier,-18,19,-15,-52,2,-33,4707
707,Foongus,-19,-61,-75,-57,-48,-38,16704
708,Amoonguss,26,-31,-50,-27,-23,-23,5924
709,Frillish,-33,-76,-70,-47,-18,-13,14467
710,Jellicent,12,-56,-50,-27,2,7,6562
711,Alomomola,77,-41,-40,-72,-58,12,17902
712,Joltik,-38,-69,-70,-55,-53,12,17083
713,Galvantula,-18,-39,-60,-15,-43,55,10544
714,Ferroseed,-44,-66,-29,-88,-17,-43,17015
715,Ferrothorn,-14,-22,11,-58,13,-33,5423
716,Klink,-48,-61,-50,-67,-43,-23,15392
717,Klang,-28,-36,-25,-42,-18,-3,4802
718,Klinklang,-28,-16,-5,-42,-18,37,4522
719,Tynamo,-53,-61,-80,-67,-63,7,21437
720,Eelektrik,-23,-31,-50,-37,-33,-13,6617
721,Eelektross,-3,-1,-40,-7,-23,-3,2197
722,Elgyem,-33,-61,-65,-27,-48,-23,12597
723,Beheeyem,-13,-41,-45,13,-8,-13,4277
724,Litwick,-38,-86,-65,-47,-48,-33,18667
725,Lampent,-28,-76,-60,-17,-43,2,12302
726,Chandelure,-28,-61,-30,33,-13,27,7392
727,Axew,-42,-29,-60,-82,-63,4,16914
728,Fraxure,-22,1,-50,-72,-53,14,11174
729,Haxorus,-12,31,-30,-52,-33,44,7734
730,Cubchoo,-33,-46,-80,-52,-63,-13,16447
731,Beartic,7,14,-40,-42,-23,-3,4147
732,Cryogonal,-8,-66,-70,-17,32,52,13337
733,Shelmet,-38,-76,-35,-72,-38,-28,15857
734,Accelgor,-8,-46,-80,-12,-43,92,19037
735,Stunfisk,21,-50,-36,-31,-4,-21,5655
736,Stunfisk (Galarian Stunfisk),21,-35,-21,-46,-19,-21,5025
737,Mienfoo,-43,-31,-70,-57,-53,12,13912
738,Mienshao,-23,9,-60,-17,-43,52,9052
739,Druddigon,-11,4,-30,-52,-13,-5,3935
740,Golett,-29,-42,-70,-77,-53,-18,16567
741,Golurk,1,8,-40,-57,-23,2,5447
742,Pawniard,-43,-31,-50,-72,-63,7,14512
743,Bisharp,-23,9,-20,-52,-33,17,5092
744,Bouffalant,7,-6,-25,-72,-8,2,5962
745,Rufflet,-18,-33,-70,-75,-53,7,14796
746,Braviary,12,7,-45,-55,-28,27,6756
747,Braviary (Hisuian Braviary),22,-33,-50,0,-33,12,5306
748,Vullaby,-18,-61,-45,-67,-38,7,12052
749,Mandibuzz,22,-51,-15,-57,-8,27,7352
750,Heatmor,-3,-19,-54,-7,-37,12,4848
751,Durant,-30,-7,-8,-64,-55,56,11270
752,Deino,-36,-51,-70,-67,-53,-15,16320
753,Zweilous,-16,-31,-50,-47,-33,5,7040
754,Hydreigon,4,-11,-30,13,-13,45,3400
755,Larvesta,-33,-31,-65,-62,-48,7,12472
756,Volcarona,-3,-56,-55,23,2,47,8912
757,Cobalion,3,-26,9,-22,-31,55,5236
758,Terrakion,3,13,-30,-40,-13,55,5872
759,Virizion,3,-26,-48,-22,26,55,7174
760,Tornadus (Incarnate Forme),-9,-1,-50,13,-23,58,6644
761,Tornadus (Therian Forme),-9,-16,-40,-2,-13,68,6734
762,Thundurus (Incarnate Forme),-9,-1,-50,13,-23,58,6644
763,Thundurus (Therian Forme),-9,-11,-50,33,-23,48,6624
764,Reshiram,12,4,-20,38,17,37,3662
765,Zekrom,12,34,0,8,-3,37,2742
766,Landorus (Incarnate Forme),1,9,-30,3,-23,48,3824
767,Landorus (Therian Forme),1,29,-30,-7,-23,38,3764
768,Kyurem,37,14,-30,18,-13,42,4722
769,Kyurem (Black Kyurem),37,54,-20,8,-13,42,6682
770,Kyurem (White Kyurem),37,4,-30,58,-3,42,7422
771,Keldeo,3,-44,-30,17,-13,55,6328
772,Meloetta (Aria Forme),12,-39,-43,16,25,37,5764
773,Meloetta (Pirouette Forme),12,12,-30,-35,-26,75,8714
774,Genesect,-17,4,-25,8,-8,46,3174
775,Chespin,-32,-55,-55,-64,-58,-15,14759
776,Quilladin,-27,-38,-25,-56,-45,4,7975
777,Chesnaught,0,-9,2,-38,-28,11,2434
778,Fennekin,-48,-71,-80,-50,-43,7,18143
779,Braixen,-29,-57,-62,-22,-33,20,9907
780,Delphox,-13,-47,-48,2,-3,51,7296
781,Froakie,-47,-60,-80,-50,-59,18,18514
782,Frogadier,-34,-53,-68,-29,-47,44,13575
783,Greninja,-16,-21,-53,-9,-32,69,9372
784,Greninja (Ash-Greninja),-16,29,-53,41,-32,79,12852
785,Bunnelby,-50,-80,-82,-80,-67,4,26529
786,Diggersby,-3,-60,-43,-62,-26,25,10603
787,Fletchling,-43,-66,-77,-72,-65,9,21624
788,Fletchinder,-26,-43,-65,-56,-51,31,13448
789,Talonflame,-10,-35,-49,-38,-34,73,11655
790,Scatterbug,-50,-81,-80,-85,-78,-18,29094
791,Spewpa,-43,-94,-60,-85,-73,-24,27415
792,Vivillon,-8,-64,-70,-22,-53,36,13649
793,Litleo,-26,-66,-62,-39,-49,19,13159
794,Pyroar,-2,-48,-48,-3,-37,53,8799
795,Flabébé,-44,-78,-81,-51,-24,-11,17879
796,Floette,-34,-71,-73,-37,-5,-1,12921
797,Florges,-10,-51,-52,0,51,22,8490
798,Skiddo,-22,-51,-72,-50,-46,-1,12886
799,Gogoat,35,-16,-58,-15,-22,15,5779
800,Pancham,-21,-34,-58,-66,-55,-10,12442
801,Pangoro,7,8,-42,-43,-32,5,4775
802,Furfrou,-13,-36,-60,-47,-13,49,9844
803,Espurr,-26,-68,-66,-49,-43,15,14131
804,Meowstic,-14,-68,-44,-29,-22,51,10682
805,Honedge,-43,-36,-20,-77,-66,-25,14455
806,Doublade,-29,-6,30,-67,-54,-18,9506
807,Aegislash (Shield Forme),-28,-66,20,-62,37,7,10802
808,Aegislash (Blade Forme),-28,24,-70,28,-53,7,9902
809,Spritzee,-10,-64,-60,-49,-38,-30,12541
810,Aromatisse,13,-44,-48,-13,-14,-24,5350
811,Swirlix,-26,-68,-54,-53,-46,-4,13157
812,Slurpuff,-6,-36,-34,-27,-28,19,4362
813,Inkay,-35,-62,-67,-75,-57,-8,18496
814,Malamar,-2,-24,-32,-44,-28,20,4724
815,Binacle,-46,-64,-53,-73,-47,-3,16568
816,Barbaracle,-16,-11,-5,-58,-17,15,4280
817,Skrelp,-38,-56,-60,-52,-43,-23,13262
818,Dragalge,-23,-41,-30,-15,20,-9,3816
819,Clauncher,-38,-63,-58,-54,-40,-9,13374
820,Clawitzer,-17,-43,-32,8,-14,6,3458
821,Helioptile,-44,-78,-87,-51,-60,17,22079
822,Heliolisk,-26,-61,-68,-3,-9,56,12247
823,Tyrunt,-30,-27,-43,-67,-58,-5,11356
824,Tyrantrum,-6,5,-1,-43,-44,18,4171
825,Amaura,-11,-57,-70,-45,-40,-7,11944
826,Aurorus,35,-39,-48,-13,-11,5,5365
827,Sylveon,7,-51,-55,-2,27,7,6457
828,Hawlucha,-10,-24,-45,-38,-40,65,9970
829,Dedenne,-21,-58,-63,-31,-36,48,12335
830,Carbink,-38,-66,30,-62,47,-3,12762
831,Goomy,-43,-66,-85,-57,-28,-13,17632
832,Sliggoo,-20,-41,-67,-29,10,7,7560
833,Sliggoo (Hisuian Sliggoo),-30,-41,-37,-29,10,-13,5060
834,Goodra,2,-16,-50,-2,47,27,5702
835,Goodra (Hisuian Goodra),-8,-16,-20,-2,47,7,2982
836,Klefki,-31,-36,-29,-32,-16,22,4862
837,Phantump,-45,-46,-72,-62,-43,-15,15243
838,Trevenant,-3,-6,-44,-47,-21,3,4640
839,Pumpkaboo (Small Size),-44,-50,-50,-68,-48,3,13873
840,Pumpkaboo (Average Size),-39,-50,-50,-68,-48,-2,13453
841,Pumpkaboo (Large Size),-34,-50,-50,-68,-48,-7,13133
842,Pumpkaboo (Super Size),-29,-50,-50,-68,-48,-12,12913
843,Gourgeist (Small Size),-33,-31,2,-54,-28,46,7870
844,Gourgeist (Average Size),-23,-26,2,-54,-28,31,5870
845,Gourgeist (Large Size),-13,-21,2,-54,-28,16,4570
846,Gourgeist (Super Size),-3,-16,2,-54,-28,1,3970
847,Bergmite,-33,-47,-35,-80,-68,-25,16172
848,Avalugg,7,1,64,-68,-57,-25,12644
849,Avalugg (Hisuian Avalugg),7,11,64,-78,-67,-15,15064
850,Noibat,-48,-86,-85,-67,-63,2,25387
851,Noivern,-3,-46,-40,-15,-23,70,9379
852,Xerneas,38,15,-25,19,-5,46,4796
853,Yveltal,38,15,-25,19,-5,46,4796
854,Zygarde (50% Forme),20,-16,1,-31,-8,42,3446
855,Zygarde (10% Forme),-34,-16,-49,-51,-18,62,10582
856,Zygarde (Complete Forme),128,-16,1,-21,-8,32,18170
857,Diancie,-38,-16,30,-12,47,-3,4962
858,Diancie (Mega Diancie),-38,44,-10,48,7,57,9082
859,Hoopa (Hoopa Confined),-8,-6,-60,38,27,17,6162
860,Hoopa (Hoopa Unbound),-8,44,-60,58,27,27,10422
861,Volcanion,-8,-6,0,18,-13,17,882
862,Rowlet,-20,-61,-65,-62,-53,-11,15120
863,Dartrix,-10,-41,-45,-42,-33,-1,6660
864,Decidueye,-10,-9,-45,-12,-3,17,2648
865,Decidueye (Hisuian Decidueye),0,-4,-40,-17,-8,7,2018
866,Litten,-43,-51,-80,-52,-63,17,17812
867,Torracat,-23,-31,-70,-32,-53,37,11592
868,Incineroar,7,-1,-30,-32,-13,7,2192
869,Popplio,-38,-62,-66,-46,-47,-13,14138
870,Brionne,-28,-47,-51,-21,-22,-3,6528
871,Primarina,-8,-42,-46,14,13,7,4358
872,Pikipek,-53,-41,-90,-82,-73,12,24787
873,Trumbeak,-33,-31,-70,-72,-53,22,15427
874,Toucannon,-8,4,-45,-37,-28,7,4307
875,Yungoos,-40,-46,-90,-82,-73,-8,23933
876,Gumshoos,0,-6,-60,-57,-43,-8,8798
877,Grubbin,-41,-54,-75,-57,-58,-7,16884
878,Charjabug,-31,-34,-25,-57,-28,-17,7064
879,Vikavolt,-11,-46,-30,33,-28,-10,5110
880,Crabrawler,-41,-34,-63,-70,-56,10,14942
881,Crabominable,9,16,-43,-50,-36,-10,6082
882,Oricorio,-13,-46,-50,-14,-33,40,7670
883,Cutiefly,-48,-71,-80,-57,-63,31,21924
884,Ribombee,-28,-61,-60,-17,-33,71,14524
885,Rockruff,-43,-51,-80,-82,-63,7,21592
886,Lycanroc (Midday Form),-13,-1,-55,-57,-38,59,11369
887,Lycanroc (Midnight Form),-3,-1,-45,-57,-28,29,6909
888,Lycanroc (Dusk Form),-13,1,-55,-57,-38,57,11137
889,Wishiwashi (Solo Form),-43,-96,-100,-87,-78,-13,34887
890,Wishiwashi (School Form),-43,24,10,28,32,-23,4862
891,Mareanie,-38,-63,-58,-69,-51,-8,16203
892,Toxapex,-38,-53,32,-59,39,-18,10603
893,Mudbray,-18,-16,-50,-67,-48,-8,9937
894,Mudsdale,12,9,-20,-57,-18,-18,4522
895,Dewpider,-50,-76,-68,-72,-31,-26,19721
896,Araquanid,-20,-46,-28,-62,29,-11,8106
897,Fomantis,-48,-61,-85,-62,-68,-18,22042
898,Lurantis,-18,-11,-30,-32,-13,-8,2602
899,Morelull,-48,-81,-65,-47,-28,-38,17527
900,Shiinotic,-28,-71,-40,-22,-3,-23,8447
901,Salandit,-40,-72,-80,-41,-63,24,19410
902,Salazzle,-20,-52,-60,-1,-43,64,12650
903,Stufful,-18,-41,-70,-67,-53,-3,14212
904,Bewear,32,9,-40,-57,-43,7,7852
905,Bounsweet,-46,-86,-82,-82,-65,-21,27626
906,Steenee,-36,-76,-72,-72,-55,9,20546
907,Tsareena,-16,4,-22,-62,-5,19,4986
908,Comfey,-37,-64,-30,-30,7,47,9523
909,Oranguru,2,-56,-40,-22,7,7,5322
910,Passimian,12,4,-30,-72,-43,27,8822
911,Wimpod,-63,-81,-80,-92,-73,27,31452
912,Golisopod,-13,9,20,-52,-13,-13,3692
913,Sandygast,-33,-61,-40,-42,-58,-38,12982
914,Palossand,-3,-41,-10,-12,-28,-18,3042
915,Pyukumuku,-33,-56,10,-82,27,-48,14082
916,Type: Null,7,-21,-25,-17,-8,6,1504
917,Silvally,7,-21,-25,-17,-8,42,3232
918,Minior (Meteor Form),-28,-56,-20,-52,-3,7,7082
919,Minior (Core),-28,-16,-60,-12,-43,67,11122
920,Komala,-23,-1,-55,-37,-8,12,5132
921,Turtonator,-28,-38,15,-21,-18,-17,3507
922,Togedemaru,-23,-18,-57,-72,-30,43,12035
923,Mimikyu,-33,-26,-40,-62,2,43,9062
924,Bruxish,-20,-11,-50,-42,-33,39,7395
925,Drampa,-10,-56,-35,23,-12,-17,5423
926,Dhelmise,-18,15,-20,-26,-13,-13,1963
927,Jangmo-o,-43,-61,-55,-67,-58,-8,16512
928,Hakamo-o,-33,-41,-30,-47,-33,12,7112
929,Kommo-o,-13,-6,5,-12,2,32,1402
930,Tapu Koko,-18,-1,-35,-17,-28,77,8552
931,Tapu Lele,-18,-31,-45,18,12,42,5542
932,Tapu Bulu,-18,14,-5,-27,-8,22,1822
933,Tapu Fini,-18,-41,-5,-17,27,32,4072
934,Cosmog,-45,-87,-89,-83,-72,-16,29844
935,Cosmoem,-45,-87,11,-83,28,-16,17644
936,Solgaleo,49,21,-13,1,-14,44,5144
937,Lunala,49,-3,-31,25,4,44,5948
938,Nihilego,21,-63,-73,15,28,50,13248
939,Buzzwole,19,23,19,-59,-50,26,7908
940,Pheromosa,-17,21,-83,25,-66,98,22204
941,Xurkitree,-5,-27,-49,61,-32,30,8800
942,Celesteela,9,-15,-17,-5,-2,8,688
943,Kartana,-29,65,11,-53,-72,56,16316
944,Guzzlord,135,-15,-67,-15,-50,-10,25764
945,Necrozma,9,-9,-19,15,-14,26,1620
946,Necrozma (Dusk Mane Necrozma),9,41,7,1,6,24,2424
947,Necrozma (Dawn Wings Necrozma),9,-3,-11,45,24,24,3388
948,Necrozma (Ultra Necrozma),9,51,-23,55,-6,76,12048
949,Magearna,-8,-21,-5,18,12,12,1142
950,Marshadow,2,9,-40,-22,-13,72,7522
951,Poipole,-21,-43,-53,-39,-36,20,8316
952,Naganadel,-15,-43,-47,15,-30,68,10032
953,Stakataka,-27,15,91,-59,-2,-40,14320
954,Blacephalon,-35,11,-67,39,-24,54,10848
955,Zeraora,0,-4,-45,-10,-23,90,10770
956,Meltan,-42,-51,-55,-57,-68,-19,15624
957,Melmetal,47,27,23,-32,-38,-19,6296
958,Grookey,-38,-51,-70,-72,-63,12,18242
959,Thwackey,-18,-31,-50,-57,-43,27,9612
960,Rillaboom,12,9,-30,-52,-33,32,5942
