Will Simpson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
477,Deoxys (Speed Forme),-33,-2,-10,-3,-8,105,12291
478,Turtwig,-28,-29,-36,-53,-43,-44,9515
479,Grotle,-8,-8,-15,-43,-33,-39,4812
480,Torterra,12,12,5,-23,-13,-19,1372
481,Chimchar,-39,-39,-56,-40,-54,-14,10890
482,Monferno,-19,-19,-48,-20,-46,6,5578
483,Infernape,-7,7,-29,6,-27,33,2793
484,Piplup,-30,-46,-47,-37,-42,-35,9583
485,Prinplup,-19,-31,-32,-17,-22,-25,3744
486,Empoleon,1,-11,-12,13,3,-15,669
487,Starly,-43,-42,-70,-68,-68,-15,17986
488,Staravia,-28,-22,-50,-58,-58,5,10521
489,Staraptor,2,23,-30,-48,-38,25,5806
490,Bidoof,-24,-52,-60,-63,-58,-44,16149
491,Bibarel,-4,-12,-40,-43,-38,-4,5069
492,Kricketot,-46,-72,-59,-73,-57,-50,21859
493,Kricketune,-6,-12,-49,-43,-47,-10,6739
494,Shinx,-38,-32,-66,-58,-64,-30,15184
495,Luxio,-23,-12,-51,-38,-49,-15,7344
496,Luxray,-3,23,-21,-3,-19,-5,1374
497,Budew,-43,-67,-65,-48,-28,-20,14051
498,Roserade,-23,-27,-35,27,7,15,3486
499,Cranidos,-16,28,-60,-68,-68,-17,14177
500,Rampardos,14,68,-40,-33,-48,-17,10102
501,Shieldon,-53,-55,18,-56,-10,-45,11419
502,Bastiodon,-23,-45,68,-51,40,-45,13404
503,Burmy,-43,-68,-55,-69,-53,-39,18589
504,Wormadam (Plant Cloak),-23,-38,-15,-19,7,-39,4129
505,Wormadam (Sandy Cloak),-23,-18,5,-39,-13,-39,4089
506,Wormadam (Trash Cloak),-23,-28,-5,-29,-3,-39,3709
507,Mothim,-13,-3,-50,-4,-48,-9,5079
508,Combee,-53,-67,-58,-68,-56,-5,18447
509,Vespiquen,-13,-17,2,-18,4,-35,2027
510,Pachirisu,-23,-52,-30,-53,-8,20,7406
511,Buizel,-28,-32,-65,-38,-68,10,12201
512,Floatzel,2,8,-45,-13,-48,40,6166
513,Cherubi,-38,-62,-55,-36,-45,-40,13234
514,Cherrim,-13,-37,-30,-11,-20,10,3059
515,Shellos,-7,-49,-52,-41,-36,-41,9812
516,Gastrodon,28,-14,-32,-6,-16,-36,3592
517,Ambipom,-8,3,-34,-38,-32,40,5297
518,Drifloon,7,-47,-66,-38,-54,-5,10999
519,Drifblim,67,-17,-56,-8,-44,5,9939
520,Buneary,-28,-31,-56,-54,-42,10,9661
521,Lopunny,-18,-21,-16,-44,-2,30,3861
522,Lopunny (Mega Lopunny),-18,39,-6,-44,-2,60,7421
523,Mismagius,-23,-37,-40,7,7,30,4496
524,Honchkrow,17,28,-48,7,-46,-4,5558
525,Glameow,-34,-42,-58,-56,-61,10,13241
526,Purugly,-12,-15,-36,-34,-39,37,5711
527,Chingling,-38,-67,-50,-33,-48,-30,12726
528,Stunky,-20,-34,-53,-57,-57,-1,10864
529,Skuntank,20,-4,-33,-27,-37,9,3684
530,Bronzor,-26,-73,-14,-74,-12,-52,14525
531,Bronzong,-16,-8,16,-19,18,-42,3025
532,Bonsly,-33,-17,-5,-88,-53,-65,16181
533,Mime Jr.,-63,-72,-55,-28,-8,-15,13251
534,Happiny,17,-92,-95,-83,-33,-45,27781
535,Chatot,-7,-32,-55,-6,-56,16,7526
536,Spiritomb,-33,-5,8,-6,10,-40,2914
537,Gible,-25,-27,-55,-58,-53,-33,11641
538,Gabite,-15,-7,-35,-48,-43,7,5701
539,Garchomp,25,33,-5,-18,-13,27,2961
540,Garchomp (Mega Garchomp),25,73,15,22,-3,17,6961
541,Munchlax,52,-12,-60,-58,-13,-70,14881
542,Riolu,-43,-27,-60,-63,-58,-15,13736
543,Lucario,-13,13,-30,17,-28,15,2536
544,Lucario (Mega Lucario),-13,48,-12,42,-28,37,6534
545,Hippopotas,-15,-25,-22,-60,-56,-43,9919
546,Hippowdon,25,15,18,-30,-26,-28,3534
547,Skorupi,-43,-47,-10,-68,-43,-10,10731
548,Drapion,-13,-7,10,-38,-23,20,2691
549,Croagunk,-35,-36,-60,-37,-58,-25,11479
550,Toxicroak,0,9,-35,-12,-33,10,2639
551,Carnivine,-9,3,-28,-8,-26,-29,2455
552,Finneon,-34,-48,-44,-49,-37,-9,9247
553,Lumineon,-14,-28,-24,-29,-12,16,2797
554,Mantyke,-38,-77,-50,-38,22,-25,12426
555,Snover,-23,-35,-50,-36,-38,-35,8219
556,Abomasnow,7,-5,-25,-6,-13,-15,1129
557,Abomasnow (Mega Abomasnow),7,35,5,34,7,-45,4529
558,Weavile,-13,23,-35,-53,-13,50,7401
559,Magnezone,-13,-27,15,32,-8,-15,2436
560,Lickilicky,27,-12,-5,-18,-3,-25,1856
561,Rhyperior,32,43,30,-43,-43,-35,8696
562,Tangrowth,17,3,25,12,-48,-25,3996
563,Electivire,-8,26,-33,-3,-13,20,2407
564,Magmortar,-8,-2,-33,27,-3,8,1959
565,Togekiss,2,-47,-5,22,17,5,3036
566,Yanmega,3,-21,-14,18,-42,20,3134
567,Leafeon,-18,13,30,-38,-33,20,4326
568,Glaceon,-18,-37,10,32,-3,-10,2926
569,Gliscor,-8,-2,25,-53,-23,20,4431
570,Mamoswine,27,33,-20,-28,-38,5,4471
571,Porygon-Z,2,-17,-30,37,-23,15,3316
572,Gallade,-15,28,-35,-33,17,5,3637
573,Gallade (Mega Gallade),-15,68,-5,-33,17,35,7477
574,Probopass,-23,-42,45,-23,52,-35,8776
575,Dusknoir,-38,3,35,-33,37,-30,6036
576,Froslass,-13,-17,-30,-18,-28,35,3691
577,Rotom,-33,-47,-23,-3,-21,16,4533
578,Rotom (Heat Rotom),-33,-32,7,7,9,11,2413
579,Rotom (Wash Rotom),-33,-32,7,7,9,11,2413
580,Rotom (Frost Rotom),-33,-32,7,7,9,11,2413
581,Rotom (Fan Rotom),-33,-32,7,7,9,11,2413
582,Rotom (Mow Rotom),-33,-32,7,7,9,11,2413
583,Uxie,-8,-22,30,-23,32,20,3401
584,Mesprit,-3,8,5,7,7,5,221
585,Azelf,-8,28,-30,27,-28,40,4861
586,Dialga,17,23,20,52,2,15,4151
587,Dialga (Origin Forme),17,3,20,52,22,15,4111
588,Palkia,7,23,0,52,22,25,4391
589,Palkia (Origin Forme),7,3,0,52,22,45,5271
590,Heatran,8,-7,6,32,8,2,1241
591,Regigigas,27,63,10,-18,12,25,5891
592,Giratina (Altered Forme),67,3,20,2,22,15,5611
593,Giratina (Origin Forme),67,23,0,22,2,15,5731
594,Cresselia,37,-27,20,-23,32,10,4151
595,Phione,-3,-17,-20,-18,-18,5,1371
596,Manaphy,17,3,0,2,2,25,931
597,Darkrai,-13,-7,-10,37,-8,50,4251
598,Shaymin (Land Forme),17,3,0,2,2,25,931
599,Shaymin (Sky Forme),17,6,-25,22,-23,52,4667
600,Arceus,37,23,20,22,22,45,5291
601,Victini,17,3,0,2,2,25,931
602,Snivy,-38,-52,-45,-53,-43,-12,10975
603,Servine,-23,-37,-25,-38,-23,8,4560
604,Serperior,-8,-22,-5,-23,-3,38,2555
605,Tepig,-18,-34,-55,-53,-53,-30,11023
606,Pignite,7,-4,-45,-28,-43,-20,5123
607,Emboar,27,26,-35,2,-33,-10,3823
608,Oshawott,-28,-42,-55,-35,-53,-30,10507
609,Dewott,-8,-22,-40,-15,-38,-15,4042
610,Samurott,12,3,-15,10,-28,-5,1287
611,Samurott (Hisuian Samurott),7,11,-20,2,-33,10,1763
612,Patrat,-38,-42,-61,-63,-59,-33,15468
613,Watchog,-23,-12,-31,-38,-29,2,3923
614,Lillipup,-38,-37,-55,-73,-53,-20,14376
615,Herdier,-18,-17,-35,-63,-33,-15,7121
616,Stoutland,2,13,-10,-53,-8,5,3171
617,Purrloin,-42,-47,-63,-48,-61,-9,14048
618,Liepard,-19,-9,-50,-10,-48,31,6307
619,Pansage,-33,-44,-52,-45,-50,-11,10375
620,Simisage,-8,1,-37,0,-35,26,3335
621,Pansear,-33,-44,-52,-45,-50,-11,10375
622,Simisear,-8,1,-37,0,-35,26,3335
623,Panpour,-33,-44,-52,-45,-50,-11,10375
624,Simipour,-8,1,-37,0,-35,26,3335
625,Munna,-7,-72,-55,-31,-43,-51,13669
626,Musharna,33,-42,-15,9,-3,-46,5284
627,Pidove,-33,-42,-50,-62,-68,-32,14845
628,Tranquill,-21,-20,-38,-48,-56,-10,7825
629,Unfezant,-3,18,-20,-33,-43,18,3995
630,Blitzle,-38,-37,-68,-48,-66,1,14098
631,Zebstrika,-8,3,-37,-18,-35,41,4672
632,Roggenrola,-28,-22,-15,-73,-73,-60,15751
633,Boldore,-13,8,5,-48,-58,-55,8951
634,Gigalith,2,38,30,-38,-18,-50,6616
635,Woobat,-18,-52,-57,-43,-55,-3,11160
636,Swoobat,-16,-40,-45,-21,-43,39,7692
637,Drilbur,-23,-12,-60,-68,-53,-7,11755
638,Excadrill,27,38,-40,-48,-33,13,7335
639,Audino,20,-37,-14,-38,-12,-25,4178
640,Audino (Mega Audino),20,-37,26,-18,28,-25,4178
641,Timburr,-8,-17,-45,-73,-63,-40,13276
642,Gurdurr,2,8,-15,-58,-48,-35,7186
643,Conkeldurr,22,43,-5,-43,-33,-30,6196
644,Tympole,-33,-47,-60,-48,-58,-11,12687
645,Palpitoad,-8,-32,-45,-33,-43,-6,6087
646,Seismitoad,22,-2,-25,-13,-23,-1,1812
647,Throh,37,3,-15,-68,-13,-30,7296
648,Sawk,-8,28,-25,-68,-23,10,6726
649,Sewaddle,-38,-44,-30,-58,-38,-33,10177
650,Swadloon,-28,-34,-10,-48,-18,-33,5757
651,Leavanny,-8,6,-20,-28,-18,17,1897
652,Venipede,-53,-52,-41,-68,-59,-18,15623
653,Whirlipede,-43,-42,-1,-58,-19,-28,8123
654,Scolipede,-23,3,-11,-43,-29,37,4718
655,Cottonee,-43,-70,-40,-61,-48,-9,14455
656,Whimsicott,-23,-30,-15,-21,-23,41,4305
657,Petilil,-38,-62,-50,-28,-48,-45,12901
658,Lilligant,-13,-37,-25,12,-23,15,3061
659,Lilligant (Hisuian Lilligant),-13,8,-25,-48,-23,30,4591
660,Basculin,-13,-5,-35,-18,-43,23,4121
661,Sandile,-33,-25,-65,-63,-63,-10,13977
662,Krokorok,-23,-15,-55,-53,-53,-1,9398
663,Krookodile,12,20,-20,-33,-28,17,3106
664,Darumaka,-13,-7,-55,-83,-53,-25,13566
665,Darumaka (Galarian Darumaka),-13,-7,-55,-83,-53,-25,13566
666,Darmanitan (Standard Mode),22,43,-45,-68,-43,20,11231
667,Darmanitan (Zen Mode),22,-67,5,42,7,-20,7211
668,Darmanitan (Galarian Standard Mode),22,43,-45,-68,-43,20,11231
669,Darmanitan (Galarian Zen Mode),22,63,-45,-68,-43,60,16551
670,Maractus,-8,-11,-33,8,-31,-15,2524
671,Dwebble,-33,-32,-15,-63,-63,-20,10676
672,Crustle,-13,8,25,-33,-23,-30,3376
673,Scraggy,-33,-22,-30,-63,-28,-27,7955
674,Scrafty,-18,-7,15,-53,17,-17,3985
675,Sigilyph,-11,-39,-20,5,-18,22,2875
676,Yamask,-45,-67,-15,-43,-33,-45,11702
677,Yamask (Galarian Yamask),-45,-42,-15,-68,-33,-45,11752
678,Cofagrigus,-25,-47,45,-3,7,-45,6942
679,Tirtouga,-29,-19,3,-45,-53,-53,8854
680,Carracosta,-9,11,33,-15,-33,-43,4454
681,Archen,-28,15,-55,-24,-53,-5,7444
682,Archeops,-8,43,-35,14,-33,35,5648
683,Trubbish,-33,-47,-38,-58,-36,-10,9502
684,Garbodor,-3,-2,-18,-38,-16,0,2037
685,Zorua,-43,-32,-60,-18,-58,-10,10261
686,Zorua (Hisuian Zorua),-48,-37,-60,-13,-58,-5,10831
687,Zoroark,-23,8,-40,22,-38,30,5021
688,Zoroark (Hisuian Zoroark),-28,3,-40,27,-38,35,5791
689,Minccino,-28,-47,-60,-58,-58,0,13321
690,Cinccino,-8,-2,-40,-33,-38,40,5801
691,Gothita,-38,-67,-50,-43,-33,-30,12271
692,Gothorita,-23,-52,-30,-23,-13,-20,5231
693,Gothitelle,-13,-42,-5,-3,12,-10,2211
694,Solosis,-38,-67,-60,7,-48,-55,14911
695,Duosion,-18,-57,-50,27,-38,-45,10271
696,Reuniclus,27,-32,-25,27,-13,-45,5301
697,Ducklett,-21,-53,-50,-54,-48,-20,11370
698,Swanna,-8,-10,-37,-11,-35,23,3408
699,Vanillite,-47,-47,-50,-33,-38,-31,10412
700,Vanillish,-32,-32,-35,-18,-23,-16,4382
701,Vanilluxe,-12,-2,-15,12,-3,4,542
702,Deerling,-23,-37,-50,-58,-48,0,10066
703,Sawsbuck,-3,3,-30,-38,-28,20,3546
704,Emolga,-28,-22,-40,-23,-38,28,5625
705,Karrablast,-33,-22,-55,-58,-53,-15,10996
706,Escavalier,-13,38,5,-38,7,-55,6156
707,Foongus,-14,-42,-55,-43,-43,-60,12283
708,Amoonguss,31,-12,-30,-13,-18,-45,4523
709,Frillish,-28,-57,-50,-33,-13,-35,9016
710,Jellicent,17,-37,-30,-13,7,-15,3001
711,Alomomola,82,-22,-20,-58,-53,-10,13881
712,Joltik,-33,-50,-50,-41,-48,-10,10174
713,Galvantula,-13,-20,-40,-1,-38,33,4703
714,Ferroseed,-39,-47,-9,-74,-12,-65,13656
715,Ferrothorn,-9,-3,31,-44,18,-55,6336
716,Klink,-43,-42,-30,-53,-38,-45,10791
717,Klang,-23,-17,-5,-28,-13,-25,2421
718,Klinklang,-23,3,15,-28,-13,15,1941
719,Tynamo,-48,-42,-60,-53,-58,-15,14066
720,Eelektrik,-18,-12,-30,-23,-28,-35,3906
721,Eelektross,2,18,-20,7,-18,-25,1726
722,Elgyem,-28,-42,-45,-13,-43,-45,8616
723,Beheeyem,-8,-22,-25,27,-3,-35,3136
724,Litwick,-33,-67,-45,-33,-43,-55,13566
725,Lampent,-23,-57,-40,-3,-38,-20,7231
726,Chandelure,-23,-42,-10,47,-8,5,4691
727,Axew,-37,-10,-40,-68,-58,-18,11381
728,Fraxure,-17,20,-30,-58,-48,-8,7321
729,Haxorus,-7,50,-10,-38,-28,22,5361
730,Cubchoo,-28,-27,-60,-38,-58,-35,11146
731,Beartic,12,33,-20,-28,-18,-25,3366
732,Cryogonal,-3,-47,-50,-3,37,30,6996
733,Shelmet,-33,-57,-15,-58,-33,-50,11516
734,Accelgor,-3,-27,-60,2,-38,70,10686
735,Stunfisk,26,-31,-16,-17,1,-43,4032
736,Stunfisk (Galarian Stunfisk),26,-16,-1,-32,-14,-43,4002
737,Mienfoo,-38,-12,-50,-43,-48,-10,8341
738,Mienshao,-18,28,-40,-3,-38,30,5061
739,Druddigon,-6,23,-10,-38,-8,-27,2902
740,Golett,-24,-23,-50,-63,-48,-40,11478
741,Golurk,6,27,-20,-43,-18,-20,3738
742,Pawniard,-38,-12,-30,-58,-58,-15,9441
743,Bisharp,-18,28,0,-38,-28,-5,3361
744,Bouffalant,12,13,-5,-58,-3,-20,4111
745,Rufflet,-13,-14,-50,-61,-48,-15,9115
746,Braviary,17,26,-25,-41,-23,5,3825
747,Braviary (Hisuian Braviary),27,-14,-30,14,-28,-10,2905
748,Vullaby,-13,-42,-25,-53,-33,-15,6681
749,Mandibuzz,27,-32,5,-43,-3,5,3661
750,Heatmor,2,0,-34,7,-32,-10,2333
751,Durant,-25,12,12,-50,-50,34,7069
752,Deino,-31,-32,-50,-53,-48,-37,10967
753,Zweilous,-11,-12,-30,-33,-28,-17,3327
754,Hydreigon,9,8,-10,27,-8,23,1567
755,Larvesta,-28,-12,-45,-48,-43,-15,7331
756,Volcarona,2,-37,-35,37,7,25,4641
757,Cobalion,8,-7,29,-8,-26,33,2783
758,Terrakion,8,32,-10,-26,-8,33,3017
759,Virizion,8,-7,-28,-8,31,33,3011
760,Tornadus (Incarnate Forme),-4,18,-30,27,-18,36,3589
761,Tornadus (Therian Forme),-4,3,-20,12,-8,46,2749
762,Thundurus (Incarnate Forme),-4,18,-30,27,-18,36,3589
763,Thundurus (Therian Forme),-4,8,-30,47,-18,26,4189
764,Reshiram,17,23,0,52,22,15,4231
765,Zekrom,17,53,20,22,2,15,4211
766,Landorus (Incarnate Forme),6,28,-10,17,-18,26,2209
767,Landorus (Therian Forme),6,48,-10,7,-18,16,3069
768,Kyurem,42,33,-10,32,-8,20,4441
769,Kyurem (Black Kyurem),42,73,0,22,-8,20,8041
770,Kyurem (White Kyurem),42,23,-10,72,2,20,7981
771,Keldeo,8,-25,-10,31,-8,33,2903
772,Meloetta (Aria Forme),17,-20,-23,30,30,15,3243
773,Meloetta (Pirouette Forme),17,31,-10,-21,-21,53,5041
774,Genesect,-12,23,-5,22,-3,24,1767
775,Chespin,-27,-36,-35,-50,-53,-37,9928
776,Quilladin,-22,-19,-5,-42,-40,-18,4558
777,Chesnaught,5,10,22,-24,-23,-11,1835
778,Fennekin,-43,-52,-60,-36,-38,-15,11118
779,Braixen,-24,-38,-42,-8,-28,-2,4636
780,Delphox,-8,-28,-28,16,2,29,2733
781,Froakie,-42,-41,-60,-36,-54,-4,11273
782,Frogadier,-29,-34,-48,-15,-42,22,6774
783,Greninja,-11,-2,-33,5,-27,47,4177
784,Greninja (Ash-Greninja),-11,48,-33,55,-27,57,10517
785,Bunnelby,-45,-61,-62,-66,-62,-18,18114
786,Diggersby,2,-41,-23,-48,-21,3,4968
787,Fletchling,-38,-47,-57,-58,-60,-13,14035
788,Fletchinder,-21,-24,-45,-42,-46,9,7003
789,Talonflame,-5,-16,-29,-24,-29,51,5140
790,Scatterbug,-45,-62,-60,-71,-73,-40,21439
791,Spewpa,-38,-75,-40,-71,-68,-46,20450
792,Vivillon,-3,-45,-50,-8,-48,14,7098
793,Litleo,-21,-47,-42,-25,-44,-3,6984
794,Pyroar,3,-29,-28,11,-32,31,3740
795,Flabébé,-39,-59,-61,-37,-19,-33,11542
796,Floette,-29,-52,-53,-23,0,-23,7412
797,Florges,-5,-32,-32,14,56,0,5405
798,Skiddo,-17,-32,-52,-36,-41,-23,7523
799,Gogoat,40,3,-38,-1,-17,-7,3392
800,Pancham,-16,-15,-38,-52,-50,-32,8153
801,Pangoro,12,27,-22,-29,-27,-17,3216
802,Furfrou,-8,-17,-40,-33,-8,27,3835
803,Espurr,-21,-49,-46,-35,-38,-7,7676
804,Meowstic,-9,-49,-24,-15,-17,29,4413
805,Honedge,-38,-17,0,-63,-61,-47,11632
806,Doublade,-24,13,50,-53,-49,-40,10055
807,Aegislash (Shield Forme),-23,-47,40,-48,42,-15,8631
808,Aegislash (Blade Forme),-23,43,-50,42,-48,-15,9171
809,Spritzee,-5,-45,-40,-35,-33,-52,8668
810,Aromatisse,18,-25,-28,1,-9,-46,3931
811,Swirlix,-21,-49,-34,-39,-41,-26,7876
812,Slurpuff,-1,-17,-14,-13,-23,-3,1193
813,Inkay,-30,-43,-47,-61,-52,-30,12283
814,Malamar,3,-5,-12,-30,-23,-2,1611
815,Binacle,-41,-45,-33,-59,-42,-25,10665
816,Barbaracle,-11,8,15,-44,-12,-7,2539
817,Skrelp,-33,-37,-40,-38,-38,-45,8971
818,Dragalge,-18,-22,-10,-1,25,-31,2495
819,Clauncher,-33,-44,-38,-40,-35,-31,8255
820,Clawitzer,-12,-24,-12,22,-9,-16,1685
821,Helioptile,-39,-59,-67,-37,-55,-5,13910
822,Heliolisk,-21,-42,-48,11,-4,34,5802
823,Tyrunt,-25,-8,-23,-53,-53,-27,7565
824,Tyrantrum,-1,24,19,-29,-39,-4,3316
825,Amaura,-6,-38,-50,-31,-35,-29,7007
826,Aurorus,40,-20,-28,1,-6,-17,3110
827,Sylveon,12,-32,-35,12,32,-15,3786
828,Hawlucha,-5,-5,-25,-24,-35,43,4325
829,Dedenne,-16,-39,-43,-17,-31,26,5552
830,Carbink,-33,-47,50,-48,52,-25,11431
831,Goomy,-38,-47,-65,-43,-23,-35,11481
832,Sliggoo,-15,-22,-47,-15,15,-15,3593
833,Sliggoo (Hisuian Sliggoo),-25,-22,-17,-15,15,-35,3073
834,Goodra,7,3,-30,12,52,5,3831
835,Goodra (Hisuian Goodra),-3,3,0,12,52,-15,3091
836,Klefki,-26,-17,-9,-18,-11,0,1491
837,Phantump,-40,-27,-52,-48,-38,-37,10150
838,Trevenant,2,13,-24,-33,-16,-19,2455
839,Pumpkaboo (Small Size),-39,-31,-30,-54,-43,-19,8508
840,Pumpkaboo (Average Size),-34,-31,-30,-54,-43,-24,8358
841,Pumpkaboo (Large Size),-29,-31,-30,-54,-43,-29,8308
842,Pumpkaboo (Super Size),-24,-31,-30,-54,-43,-34,8358
843,Gourgeist (Small Size),-28,-12,22,-40,-23,24,4117
844,Gourgeist (Average Size),-18,-7,22,-40,-23,9,3067
845,Gourgeist (Large Size),-8,-2,22,-40,-23,-6,2717
846,Gourgeist (Super Size),2,3,22,-40,-23,-21,3067
847,Bergmite,-28,-28,-15,-66,-63,-47,12327
848,Avalugg,12,20,84,-54,-52,-47,15429
849,Avalugg (Hisuian Avalugg),12,30,84,-64,-62,-37,17409
850,Noibat,-43,-67,-65,-53,-58,-20,17136
851,Noivern,2,-27,-20,-1,-18,48,3762
852,Xerneas,43,34,-5,33,0,24,4695
853,Yveltal,43,34,-5,33,0,24,4695
854,Zygarde (50% Forme),25,3,21,-17,-3,20,1773
855,Zygarde (10% Forme),-29,3,-29,-37,-13,40,4829
856,Zygarde (Complete Forme),133,3,21,-7,-3,10,18297
857,Diancie,-33,3,50,2,52,-25,6931
858,Diancie (Mega Diancie),-33,63,10,62,12,35,10371
859,Hoopa (Hoopa Confined),-3,13,-40,52,32,-5,5531
860,Hoopa (Hoopa Unbound),-3,63,-40,72,32,5,11811
861,Volcanion,-3,13,20,32,-8,-5,1691
862,Rowlet,-15,-42,-45,-48,-48,-33,9711
863,Dartrix,-5,-22,-25,-28,-28,-23,3231
864,Decidueye,-5,10,-25,2,2,-5,783
865,Decidueye (Hisuian Decidueye),5,15,-20,-3,-3,-15,893
866,Litten,-38,-32,-60,-38,-58,-5,10901
867,Torracat,-18,-12,-50,-18,-48,15,5821
868,Incineroar,12,18,-10,-18,-8,-15,1181
869,Popplio,-33,-43,-46,-32,-42,-35,9067
870,Brionne,-23,-28,-31,-7,-17,-25,3237
871,Primarina,-3,-23,-26,28,18,-15,2547
872,Pikipek,-48,-22,-70,-68,-68,-10,17036
873,Trumbeak,-28,-12,-50,-58,-48,0,9096
874,Toucannon,-3,23,-25,-23,-23,-15,2446
875,Yungoos,-35,-27,-70,-68,-68,-30,17002
876,Gumshoos,5,13,-40,-43,-38,-30,5987
877,Grubbin,-36,-35,-55,-43,-53,-29,11045
878,Charjabug,-26,-15,-5,-43,-23,-39,4825
879,Vikavolt,-6,-27,-10,47,-23,-32,4627
880,Crabrawler,-36,-15,-43,-56,-51,-12,9251
881,Crabominable,14,35,-23,-36,-31,-32,5231
882,Oricorio,-8,-27,-30,0,-28,18,2801
883,Cutiefly,-43,-52,-60,-43,-58,9,13447
884,Ribombee,-23,-42,-40,-3,-28,49,7087
885,Rockruff,-38,-32,-60,-68,-58,-15,14281
886,Lycanroc (Midday Form),-8,18,-35,-43,-33,37,5920
887,Lycanroc (Midnight Form),2,18,-25,-43,-23,7,3380
888,Lycanroc (Dusk Form),-8,20,-35,-43,-33,35,5852
889,Wishiwashi (Solo Form),-38,-77,-80,-73,-73,-35,25656
890,Wishiwashi (School Form),-38,43,30,42,37,-45,9351
891,Mareanie,-33,-44,-38,-55,-46,-30,10510
892,Toxapex,-33,-34,52,-45,44,-40,10510
893,Mudbray,-13,3,-30,-53,-43,-30,6636
894,Mudsdale,17,28,0,-43,-13,-40,4691
895,Dewpider,-45,-57,-48,-58,-26,-48,13922
896,Araquanid,-15,-27,-8,-48,34,-33,5567
897,Fomantis,-43,-42,-65,-48,-63,-40,15711
898,Lurantis,-13,8,-10,-18,-8,-30,1621
899,Morelull,-43,-62,-45,-33,-23,-60,12936
900,Shiinotic,-23,-52,-20,-8,2,-45,5726
901,Salandit,-35,-53,-60,-27,-58,2,11731
902,Salazzle,-15,-33,-40,13,-38,42,6291
903,Stufful,-13,-22,-50,-53,-48,-25,8891
904,Bewear,37,28,-20,-43,-38,-15,6071
905,Bounsweet,-41,-67,-62,-68,-60,-43,20087
906,Steenee,-31,-57,-52,-58,-50,-13,12947
907,Tsareena,-11,23,-2,-48,0,-3,2967
908,Comfey,-32,-45,-10,-16,12,25,4174
909,Oranguru,7,-37,-20,-8,12,-15,2251
910,Passimian,17,23,-10,-58,-38,5,5751
911,Wimpod,-58,-62,-60,-78,-68,5,21541
912,Golisopod,-8,28,40,-38,-8,-35,5181
913,Sandygast,-28,-42,-20,-28,-53,-60,10141
914,Palossand,2,-22,10,2,-23,-40,2721
915,Pyukumuku,-28,-37,30,-68,32,-70,13601
916,Type: Null,12,-2,-5,-3,-3,-16,447
917,Silvally,12,-2,-5,-3,-3,20,591
918,Minior (Meteor Form),-23,-37,0,-38,2,-15,3571
919,Minior (Core),-23,3,-40,2,-38,45,5611
920,Komala,-18,18,-35,-23,-3,-10,2511
921,Turtonator,-23,-19,35,-7,-13,-39,3854
922,Togedemaru,-18,1,-37,-58,-25,21,6124
923,Mimikyu,-28,-7,-20,-48,7,21,4027
924,Bruxish,-15,8,-30,-28,-28,17,3046
925,Drampa,-5,-37,-15,37,-7,-39,4558
926,Dhelmise,-13,34,0,-12,-8,-35,2758
927,Jangmo-o,-38,-42,-35,-53,-53,-30,10951
928,Hakamo-o,-28,-22,-10,-33,-28,-10,3341
929,Kommo-o,-8,13,25,2,7,10,1011
930,Tapu Koko,-13,18,-15,-3,-23,55,4281
931,Tapu Lele,-13,-12,-25,32,17,20,2651
932,Tapu Bulu,-13,33,15,-13,-3,0,1661
933,Tapu Fini,-13,-22,15,-3,32,10,2011
934,Cosmog,-40,-68,-69,-69,-67,-38,21679
935,Cosmoem,-40,-68,31,-69,33,-38,14479
936,Solgaleo,54,40,7,15,-9,22,5355
937,Lunala,54,16,-11,39,9,22,5379
938,Nihilego,26,-44,-53,29,33,28,8135
939,Buzzwole,24,42,39,-45,-45,4,7927
940,Pheromosa,-12,40,-63,39,-61,76,16731
941,Xurkitree,0,-8,-29,75,-27,8,7323
942,Celesteela,14,4,3,9,3,-14,507
943,Kartana,-24,84,31,-39,-67,34,15759
944,Guzzlord,140,4,-47,-1,-45,-32,24875
945,Necrozma,14,10,1,29,-9,4,1235
946,Necrozma (Dusk Mane Necrozma),14,60,27,15,11,2,4875
947,Necrozma (Dawn Wings Necrozma),14,16,9,59,29,2,4859
948,Necrozma (Ultra Necrozma),14,70,-3,69,-1,54,12783
949,Magearna,-3,-2,15,32,17,-10,1651
950,Marshadow,7,28,-20,-8,-8,50,3861
951,Poipole,-16,-24,-33,-25,-31,-2,3511
952,Naganadel,-10,-24,-27,29,-25,46,4987
953,Stakataka,-22,34,111,-45,3,-62,19839
954,Blacephalon,-30,30,-47,53,-19,32,8203
955,Zeraora,5,15,-25,4,-18,68,5839
956,Meltan,-37,-32,-35,-43,-63,-41,11117
957,Melmetal,52,46,43,-18,-33,-41,9763
958,Grookey,-33,-32,-50,-58,-58,-10,11441
959,Thwackey,-13,-12,-30,-43,-38,5,4531
960,Rillaboom,17,28,-10,-38,-28,10,3501
961,Scorbunny,-33,-26,-60,-58,-58,-6,12129
962,Raboot,-18,-11,-40,-43,-38,19,5699
963,Cinderace,-3,19,-25,-33,-23,44,4549
964,Sobble,-33,-57,-60,-28,-58,-5,12111
965,Drizzile,-18,-37,-45,-3,-43,15,5801
966,Inteleon,-13,-12,-35,27,-33,45,5381
967,Skwovet,-13,-42,-45,-63,-63,-50,14396
