Gabe Silverstein vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
478,Turtwig,-34,-33,-30,-60,-50,-27,9974
479,Grotle,-14,-12,-9,-50,-40,-22,5005
480,Torterra,6,8,11,-30,-20,-2,1525
481,Chimchar,-45,-43,-50,-47,-61,3,12313
482,Monferno,-25,-23,-42,-27,-53,23,6985
483,Infernape,-13,3,-23,-1,-34,50,4364
484,Piplup,-36,-50,-41,-44,-49,-18,10138
485,Prinplup,-25,-35,-26,-24,-29,-8,4007
486,Empoleon,-5,-15,-6,6,-4,2,342
487,Starly,-49,-46,-64,-75,-75,2,19867
488,Staravia,-34,-26,-44,-65,-65,22,12702
489,Staraptor,-4,19,-24,-55,-45,42,7767
490,Bidoof,-30,-56,-54,-70,-65,-27,16806
491,Bibarel,-10,-16,-34,-50,-45,13,6206
492,Kricketot,-52,-76,-53,-80,-64,-33,22874
493,Kricketune,-12,-16,-43,-50,-54,7,7714
494,Shinx,-44,-36,-60,-65,-71,-13,16267
495,Luxio,-29,-16,-45,-45,-56,2,8287
496,Luxray,-9,19,-15,-10,-26,12,1587
497,Budew,-49,-71,-59,-55,-35,-3,15182
498,Roserade,-29,-31,-29,20,0,32,4067
499,Cranidos,-22,24,-54,-75,-75,0,15226
500,Rampardos,8,64,-34,-40,-55,0,9941
501,Shieldon,-59,-59,24,-63,-17,-28,12580
502,Bastiodon,-29,-49,74,-58,33,-28,13955
503,Burmy,-49,-72,-49,-76,-60,-22,19846
504,Wormadam (Plant Cloak),-29,-42,-9,-26,0,-22,3846
505,Wormadam (Sandy Cloak),-29,-22,11,-46,-20,-22,4446
506,Wormadam (Trash Cloak),-29,-32,1,-36,-10,-22,3746
507,Mothim,-19,-7,-44,-11,-55,8,5556
508,Combee,-59,-71,-52,-75,-63,12,20964
509,Vespiquen,-19,-21,8,-25,-3,-18,1824
510,Pachirisu,-29,-56,-24,-60,-15,37,9747
511,Buizel,-34,-36,-59,-45,-75,27,14312
512,Floatzel,-4,4,-39,-20,-55,57,8227
513,Cherubi,-44,-66,-49,-43,-52,-23,13775
514,Cherrim,-19,-41,-24,-18,-27,27,4400
515,Shellos,-13,-53,-46,-48,-43,-24,9823
516,Gastrodon,22,-18,-26,-13,-23,-19,2543
517,Ambipom,-14,-1,-28,-45,-39,57,7776
518,Drifloon,1,-51,-60,-45,-61,12,12092
519,Drifblim,61,-21,-50,-15,-51,22,9972
520,Buneary,-34,-35,-50,-61,-49,27,11732
521,Lopunny,-24,-25,-10,-51,-9,47,6192
522,Lopunny (Mega Lopunny),-24,35,0,-51,-9,77,10412
523,Mismagius,-29,-41,-34,0,0,47,5887
524,Honchkrow,11,24,-42,0,-53,13,5439
525,Glameow,-40,-46,-52,-63,-68,27,15742
526,Purugly,-18,-19,-30,-41,-46,54,8298
527,Chingling,-44,-71,-44,-40,-55,-13,13707
528,Stunky,-26,-38,-47,-64,-64,16,12777
529,Skuntank,14,-8,-27,-34,-44,26,4757
530,Bronzor,-32,-77,-8,-81,-19,-35,15164
531,Bronzong,-22,-12,22,-26,11,-25,2534
532,Bonsly,-39,-21,1,-95,-60,-48,16892
533,Mime Jr.,-69,-76,-49,-35,-15,2,14392
534,Happiny,11,-96,-89,-90,-40,-28,27742
535,Chatot,-13,-36,-49,-13,-63,33,9093
536,Spiritomb,-39,-9,14,-13,3,-23,2505
537,Gible,-31,-31,-49,-65,-60,-16,12404
538,Gabite,-21,-11,-29,-55,-50,24,7504
539,Garchomp,19,29,1,-25,-20,44,4164
540,Garchomp (Mega Garchomp),19,69,21,15,-10,34,7044
541,Munchlax,46,-16,-54,-65,-20,-53,12722
542,Riolu,-49,-31,-54,-70,-65,2,15407
543,Lucario,-19,9,-24,10,-35,32,3367
544,Lucario (Mega Lucario),-19,44,-6,35,-35,54,7699
545,Hippopotas,-21,-29,-16,-67,-63,-26,10672
546,Hippowdon,19,11,24,-37,-33,-11,3637
547,Skorupi,-49,-51,-4,-75,-50,7,13192
548,Drapion,-19,-11,16,-45,-30,37,5032
549,Croagunk,-41,-40,-54,-44,-65,-8,12422
550,Toxicroak,-6,5,-29,-19,-40,27,3592
551,Carnivine,-15,-1,-22,-15,-33,-12,2168
552,Finneon,-40,-52,-38,-56,-44,8,10884
553,Lumineon,-20,-32,-18,-36,-19,33,4494
554,Mantyke,-44,-81,-44,-45,15,-8,12747
555,Snover,-29,-39,-44,-43,-45,-18,8496
556,Abomasnow,1,-9,-19,-13,-20,2,1016
557,Abomasnow (Mega Abomasnow),1,31,11,27,0,-28,2596
558,Weavile,-19,19,-29,-60,-20,67,10052
559,Magnezone,-19,-31,21,25,-15,2,2617
560,Lickilicky,21,-16,1,-25,-10,-8,1487
561,Rhyperior,26,39,36,-50,-50,-18,8817
562,Tangrowth,11,-1,31,5,-55,-8,4197
563,Electivire,-14,22,-27,-10,-20,37,3278
564,Magmortar,-14,-6,-27,20,-10,25,2086
565,Togekiss,-4,-51,1,15,10,22,3427
566,Yanmega,-3,-25,-8,11,-49,37,4589
567,Leafeon,-24,9,36,-45,-40,37,6947
568,Glaceon,-24,-41,16,25,-10,7,3287
569,Gliscor,-14,-6,31,-60,-30,37,7062
570,Mamoswine,21,29,-14,-35,-45,22,5212
571,Porygon-Z,-4,-21,-24,30,-30,32,3857
572,Gallade,-21,24,-29,-40,10,22,4042
573,Gallade (Mega Gallade),-21,64,1,-40,10,52,8942
574,Probopass,-29,-46,51,-30,45,-18,8807
575,Dusknoir,-44,-1,41,-40,30,-13,6287
576,Froslass,-19,-21,-24,-25,-35,52,5932
577,Rotom,-39,-51,-17,-10,-28,33,6384
578,Rotom (Heat Rotom),-39,-36,13,0,2,28,3774
579,Rotom (Wash Rotom),-39,-36,13,0,2,28,3774
580,Rotom (Frost Rotom),-39,-36,13,0,2,28,3774
581,Rotom (Fan Rotom),-39,-36,13,0,2,28,3774
582,Rotom (Mow Rotom),-39,-36,13,0,2,28,3774
583,Uxie,-14,-26,36,-30,25,37,5062
584,Mesprit,-9,4,11,0,0,22,702
585,Azelf,-14,24,-24,20,-35,57,6222
586,Dialga,11,19,26,45,-5,32,4232
587,Dialga (Origin Forme),11,-1,26,45,15,32,4072
588,Palkia,1,19,6,45,15,42,4412
589,Palkia (Origin Forme),1,-1,6,45,15,62,6132
590,Heatran,2,-11,12,25,1,19,1256
591,Regigigas,21,59,16,-25,5,42,6592
592,Giratina (Altered Forme),61,-1,26,-5,15,32,5672
593,Giratina (Origin Forme),61,19,6,15,-5,32,5392
594,Cresselia,31,-31,26,-30,25,27,4852
595,Phione,-9,-21,-14,-25,-25,22,2452
596,Manaphy,11,-1,6,-5,-5,42,1972
597,Darkrai,-19,-11,-4,30,-15,67,6112
598,Shaymin (Land Forme),11,-1,6,-5,-5,42,1972
599,Shaymin (Sky Forme),11,2,-19,15,-30,69,6372
600,Arceus,31,19,26,15,15,62,6292
601,Victini,11,-1,6,-5,-5,42,1972
602,Snivy,-44,-56,-39,-60,-50,5,12718
603,Servine,-29,-41,-19,-45,-30,25,6433
604,Serperior,-14,-26,1,-30,-10,55,4898
605,Tepig,-24,-38,-49,-60,-60,-13,11790
606,Pignite,1,-8,-39,-35,-50,-3,5320
607,Emboar,21,22,-29,-5,-40,7,3440
608,Oshawott,-34,-46,-49,-42,-60,-13,11206
609,Dewott,-14,-26,-34,-22,-45,2,4541
610,Samurott,6,-1,-9,3,-35,12,1496
611,Samurott (Hisuian Samurott),1,7,-14,-5,-40,27,2600
612,Patrat,-44,-46,-55,-70,-66,-16,16589
613,Watchog,-29,-16,-25,-45,-36,19,5404
614,Lillipup,-44,-41,-49,-80,-60,-3,16027
615,Herdier,-24,-21,-29,-70,-40,2,8362
616,Stoutland,-4,9,-4,-60,-15,22,4422
617,Purrloin,-48,-51,-57,-55,-68,8,15867
618,Liepard,-25,-13,-44,-17,-55,48,8348
619,Pansage,-39,-48,-46,-52,-57,6,11930
620,Simisage,-14,-3,-31,-7,-42,43,4828
621,Pansear,-39,-48,-46,-52,-57,6,11930
622,Simisear,-14,-3,-31,-7,-42,43,4828
623,Panpour,-39,-48,-46,-52,-57,6,11930
624,Simipour,-14,-3,-31,-7,-42,43,4828
625,Munna,-13,-76,-49,-38,-50,-34,13446
626,Musharna,27,-46,-9,2,-10,-29,3871
627,Pidove,-39,-46,-44,-69,-75,-15,16184
628,Tranquill,-27,-24,-32,-55,-63,7,9372
629,Unfezant,-9,14,-14,-40,-50,35,5798
630,Blitzle,-44,-41,-62,-55,-73,18,16139
631,Zebstrika,-14,-1,-31,-25,-42,58,6911
632,Roggenrola,-34,-26,-9,-80,-80,-43,16562
633,Boldore,-19,4,11,-55,-65,-38,9192
634,Gigalith,-4,34,36,-45,-25,-33,6207
635,Woobat,-24,-56,-51,-50,-62,14,12853
636,Swoobat,-22,-44,-39,-28,-50,56,10361
637,Drilbur,-29,-16,-54,-75,-60,10,13338
638,Excadrill,21,34,-34,-55,-40,30,8278
639,Audino,14,-41,-8,-45,-19,-8,4391
640,Audino (Mega Audino),14,-41,32,-25,21,-8,4031
641,Timburr,-14,-21,-39,-80,-70,-23,13987
642,Gurdurr,-4,4,-9,-65,-55,-18,7687
643,Conkeldurr,16,39,1,-50,-40,-13,6047
644,Tympole,-39,-51,-54,-55,-65,6,14324
645,Palpitoad,-14,-36,-39,-40,-50,11,7234
646,Seismitoad,16,-6,-19,-20,-30,16,2209
647,Throh,31,-1,-9,-75,-20,-13,7237
648,Sawk,-14,24,-19,-75,-30,27,8387
649,Sewaddle,-44,-48,-24,-65,-45,-16,11322
650,Swadloon,-34,-38,-4,-55,-25,-16,6522
651,Leavanny,-14,2,-14,-35,-25,34,3402
652,Venipede,-59,-56,-35,-75,-66,-1,17824
653,Whirlipede,-49,-46,5,-65,-26,-11,9564
654,Scolipede,-29,-1,-5,-50,-36,54,7579
655,Cottonee,-49,-74,-34,-68,-55,8,16746
656,Whimsicott,-29,-34,-9,-28,-30,58,7126
657,Petilil,-44,-66,-44,-35,-55,-28,13262
658,Lilligant,-19,-41,-19,5,-30,32,4352
659,Lilligant (Hisuian Lilligant),-19,4,-19,-55,-30,47,6872
660,Basculin,-19,-9,-29,-25,-50,40,6008
661,Sandile,-39,-29,-59,-70,-70,7,15692
662,Krokorok,-29,-19,-49,-60,-60,16,11059
663,Krookodile,6,16,-14,-40,-35,34,4469
664,Darumaka,-19,-11,-49,-90,-60,-8,14647
665,Darumaka (Galarian Darumaka),-19,-11,-49,-90,-60,-8,14647
666,Darmanitan (Standard Mode),16,39,-39,-75,-50,37,12792
667,Darmanitan (Zen Mode),16,-71,11,35,0,-3,6652
668,Darmanitan (Galarian Standard Mode),16,39,-39,-75,-50,37,12792
669,Darmanitan (Galarian Zen Mode),16,59,-39,-75,-50,77,19312
670,Maractus,-14,-15,-27,1,-38,2,2599
671,Dwebble,-39,-36,-9,-70,-70,-3,12707
672,Crustle,-19,4,31,-40,-30,-13,4007
673,Scraggy,-39,-26,-24,-70,-35,-10,8998
674,Scrafty,-24,-11,21,-60,10,0,4838
675,Sigilyph,-17,-43,-14,-2,-25,39,4484
676,Yamask,-51,-71,-9,-50,-40,-28,12607
677,Yamask (Galarian Yamask),-51,-46,-9,-75,-40,-28,12807
678,Cofagrigus,-31,-51,51,-10,0,-28,7047
679,Tirtouga,-35,-23,9,-52,-60,-36,9435
680,Carracosta,-15,7,39,-22,-40,-26,4555
681,Archen,-34,11,-49,-31,-60,12,8383
682,Archeops,-14,39,-29,7,-40,52,6911
683,Trubbish,-39,-51,-32,-65,-43,7,11269
684,Garbodor,-9,-6,-12,-45,-23,17,3104
685,Zorua,-49,-36,-54,-25,-65,7,11512
686,Zorua (Hisuian Zorua),-54,-41,-54,-20,-65,12,12282
687,Zoroark,-29,4,-34,15,-45,47,6472
688,Zoroark (Hisuian Zoroark),-34,-1,-34,20,-45,52,7442
689,Minccino,-34,-51,-54,-65,-65,17,15412
690,Cinccino,-14,-6,-34,-40,-45,57,8262
691,Gothita,-44,-71,-44,-50,-40,-13,13182
692,Gothorita,-29,-56,-24,-30,-20,-3,5862
693,Gothitelle,-19,-46,1,-10,5,7,2652
694,Solosis,-44,-71,-54,0,-55,-38,14362
695,Duosion,-24,-61,-44,20,-45,-28,9442
696,Reuniclus,21,-36,-19,20,-20,-28,3682
697,Ducklett,-27,-57,-44,-61,-55,-3,12669
698,Swanna,-14,-14,-31,-18,-42,40,5041
699,Vanillite,-53,-51,-44,-40,-45,-14,11167
700,Vanillish,-38,-36,-29,-25,-30,1,5107
701,Vanilluxe,-18,-6,-9,5,-10,21,1007
702,Deerling,-29,-41,-44,-65,-55,17,11997
703,Sawsbuck,-9,-1,-24,-45,-35,37,5277
704,Emolga,-34,-26,-34,-30,-45,45,7938
705,Karrablast,-39,-26,-49,-65,-60,2,12427
706,Escavalier,-19,34,11,-45,0,-38,5107
707,Foongus,-20,-46,-49,-50,-50,-43,11766
708,Amoonguss,25,-16,-24,-20,-25,-28,3266
709,Frillish,-34,-61,-44,-40,-20,-18,9137
710,Jellicent,11,-41,-24,-20,0,2,2782
711,Alomomola,76,-26,-14,-65,-60,7,14522
712,Joltik,-39,-54,-44,-48,-55,7,11751
713,Galvantula,-19,-24,-34,-8,-45,50,6682
714,Ferroseed,-45,-51,-3,-81,-19,-48,13861
715,Ferrothorn,-15,-7,37,-51,11,-38,5809
716,Klink,-49,-46,-24,-60,-45,-28,11502
717,Klang,-29,-21,1,-35,-20,-8,2972
718,Klinklang,-29,-1,21,-35,-20,32,3932
719,Tynamo,-54,-46,-54,-60,-65,2,15777
720,Eelektrik,-24,-16,-24,-30,-35,-18,3857
721,Eelektross,-4,14,-14,0,-25,-8,1097
722,Elgyem,-34,-46,-39,-20,-50,-28,8477
723,Beheeyem,-14,-26,-19,20,-10,-18,2057
724,Litwick,-39,-71,-39,-40,-50,-38,13627
725,Lampent,-29,-61,-34,-10,-45,-3,7852
726,Chandelure,-29,-46,-4,40,-15,22,5282
727,Axew,-43,-14,-34,-75,-65,-1,13052
728,Fraxure,-23,16,-24,-65,-55,9,8692
729,Haxorus,-13,46,-4,-45,-35,39,7072
730,Cubchoo,-34,-31,-54,-45,-65,-18,11607
731,Beartic,6,29,-14,-35,-25,-8,2987
732,Cryogonal,-9,-51,-44,-10,30,47,7827
733,Shelmet,-39,-61,-9,-65,-40,-33,12237
734,Accelgor,-9,-31,-54,-5,-45,87,13577
735,Stunfisk,20,-35,-10,-24,-6,-26,3013
736,Stunfisk (Galarian Stunfisk),20,-20,5,-39,-21,-26,3463
737,Mienfoo,-44,-16,-44,-50,-55,7,9702
738,Mienshao,-24,24,-34,-10,-45,47,6642
739,Druddigon,-12,19,-4,-45,-15,-10,2871
740,Golett,-30,-27,-44,-70,-55,-23,12019
741,Golurk,0,23,-14,-50,-25,-3,3859
742,Pawniard,-44,-16,-24,-65,-65,2,11222
743,Bisharp,-24,24,6,-45,-35,12,4582
744,Bouffalant,6,9,1,-65,-10,-3,4452
745,Rufflet,-19,-18,-44,-68,-55,2,10274
746,Braviary,11,22,-19,-48,-30,22,4654
747,Braviary (Hisuian Braviary),21,-18,-24,7,-35,7,2664
748,Vullaby,-19,-46,-19,-60,-40,2,8042
749,Mandibuzz,21,-36,11,-50,-10,22,4942
750,Heatmor,-4,-4,-28,0,-39,7,2386
751,Durant,-31,8,18,-57,-57,51,10448
752,Deino,-37,-36,-44,-60,-55,-20,11626
753,Zweilous,-17,-16,-24,-40,-35,0,3946
754,Hydreigon,3,4,-4,20,-15,40,2266
755,Larvesta,-34,-16,-39,-55,-50,2,8462
756,Volcarona,-4,-41,-29,30,0,42,5202
757,Cobalion,2,-11,35,-15,-33,50,5164
758,Terrakion,2,28,-4,-33,-15,50,4618
759,Virizion,2,-11,-22,-15,24,50,3910
760,Tornadus (Incarnate Forme),-10,14,-24,20,-25,53,4706
761,Tornadus (Therian Forme),-10,-1,-14,5,-15,63,4516
762,Thundurus (Incarnate Forme),-10,14,-24,20,-25,53,4706
763,Thundurus (Therian Forme),-10,4,-24,40,-25,43,4766
764,Reshiram,11,19,6,45,15,32,3792
765,Zekrom,11,49,26,15,-5,32,4472
766,Landorus (Incarnate Forme),0,24,-4,10,-25,43,3166
767,Landorus (Therian Forme),0,44,-4,0,-25,33,3666
768,Kyurem,36,29,-4,25,-15,37,4372
769,Kyurem (Black Kyurem),36,69,6,15,-15,37,7912
770,Kyurem (White Kyurem),36,19,-4,65,-5,37,7292
771,Keldeo,2,-29,-4,24,-15,50,4162
772,Meloetta (Aria Forme),11,-24,-17,23,23,32,3068
773,Meloetta (Pirouette Forme),11,27,-4,-28,-28,70,7334
774,Genesect,-18,19,1,15,-10,41,2692
775,Chespin,-33,-40,-29,-57,-60,-20,10779
776,Quilladin,-28,-23,1,-49,-47,-1,5925
777,Chesnaught,-1,6,28,-31,-30,6,2718
778,Fennekin,-49,-56,-54,-43,-45,2,12331
779,Braixen,-30,-42,-36,-15,-35,15,5635
780,Delphox,-14,-32,-22,9,-5,46,3926
781,Froakie,-48,-45,-54,-43,-61,13,12984
782,Frogadier,-35,-38,-42,-22,-49,39,8839
783,Greninja,-17,-6,-27,-2,-34,64,6310
784,Greninja (Ash-Greninja),-17,44,-27,48,-34,74,11890
785,Bunnelby,-51,-65,-56,-73,-69,-1,20053
786,Diggersby,-4,-45,-17,-55,-28,20,6539
787,Fletchling,-44,-51,-51,-65,-67,4,15868
788,Fletchinder,-27,-28,-39,-49,-53,26,8920
789,Talonflame,-11,-20,-23,-31,-36,68,7931
790,Scatterbug,-51,-66,-54,-78,-80,-23,22886
791,Spewpa,-44,-79,-34,-78,-75,-29,21883
792,Vivillon,-9,-49,-44,-15,-55,31,8629
793,Litleo,-27,-51,-36,-32,-51,14,8447
794,Pyroar,-3,-33,-22,4,-39,48,5423
795,Flabébé,-45,-63,-55,-44,-26,-16,11887
796,Floette,-35,-56,-47,-30,-7,-6,7555
797,Florges,-11,-36,-26,7,49,17,4832
798,Skiddo,-23,-36,-46,-43,-48,-6,8130
799,Gogoat,34,-1,-32,-8,-24,10,2921
800,Pancham,-22,-19,-32,-59,-57,-15,8824
801,Pangoro,6,23,-16,-36,-34,0,3273
802,Furfrou,-14,-21,-34,-40,-15,44,5554
803,Espurr,-27,-53,-40,-42,-45,10,9027
804,Meowstic,-15,-53,-18,-22,-24,46,6534
805,Honedge,-44,-21,6,-70,-68,-30,12837
806,Doublade,-30,9,56,-60,-56,-23,11382
807,Aegislash (Shield Forme),-29,-51,46,-55,35,2,9812
808,Aegislash (Blade Forme),-29,39,-44,35,-55,2,8552
809,Spritzee,-11,-49,-34,-42,-40,-35,8267
810,Aromatisse,12,-29,-22,-6,-16,-29,2602
811,Swirlix,-27,-53,-28,-46,-48,-9,8823
812,Slurpuff,-7,-21,-8,-20,-30,14,2050
813,Inkay,-36,-47,-41,-68,-59,-13,13460
814,Malamar,-3,-9,-6,-37,-30,15,2620
815,Binacle,-47,-49,-27,-66,-49,-8,12160
816,Barbaracle,-17,4,21,-51,-19,10,3808
817,Skrelp,-39,-41,-34,-45,-45,-28,9192
818,Dragalge,-24,-26,-4,-8,18,-14,1852
819,Clauncher,-39,-48,-32,-47,-42,-14,9018
820,Clawitzer,-18,-28,-6,15,-16,1,1626
821,Helioptile,-45,-63,-61,-44,-62,12,15639
822,Heliolisk,-27,-46,-42,4,-11,51,7347
823,Tyrunt,-31,-12,-17,-60,-60,-10,8694
824,Tyrantrum,-7,20,25,-36,-46,13,4655
825,Amaura,-12,-42,-44,-38,-42,-12,7196
826,Aurorus,34,-24,-22,-6,-13,0,2421
827,Sylveon,6,-36,-29,5,25,2,2827
828,Hawlucha,-11,-9,-19,-31,-42,60,6888
829,Dedenne,-22,-43,-37,-24,-38,43,7571
830,Carbink,-39,-51,56,-55,45,-8,12372
831,Goomy,-44,-51,-59,-50,-30,-18,11742
832,Sliggoo,-21,-26,-41,-22,8,2,3350
833,Sliggoo (Hisuian Sliggoo),-31,-26,-11,-22,8,-18,2630
834,Goodra,1,-1,-24,5,45,22,3112
835,Goodra (Hisuian Goodra),-9,-1,6,5,45,2,2172
836,Klefki,-32,-21,-3,-25,-18,17,2712
837,Phantump,-46,-31,-46,-55,-45,-20,10643
838,Trevenant,-4,9,-18,-40,-23,-2,2554
839,Pumpkaboo (Small Size),-45,-35,-24,-61,-50,-2,10051
840,Pumpkaboo (Average Size),-40,-35,-24,-61,-50,-7,9671
841,Pumpkaboo (Large Size),-35,-35,-24,-61,-50,-12,9391
842,Pumpkaboo (Super Size),-30,-35,-24,-61,-50,-17,9211
843,Gourgeist (Small Size),-34,-16,28,-47,-30,41,6986
844,Gourgeist (Average Size),-24,-11,28,-47,-30,26,5266
845,Gourgeist (Large Size),-14,-6,28,-47,-30,11,4246
846,Gourgeist (Super Size),-4,-1,28,-47,-30,-4,3926
847,Bergmite,-34,-32,-9,-73,-70,-30,13390
848,Avalugg,6,16,90,-61,-59,-30,16494
849,Avalugg (Hisuian Avalugg),6,26,90,-71,-69,-20,19014
850,Noibat,-49,-71,-59,-60,-65,-3,18757
851,Noivern,-4,-31,-14,-8,-25,65,6087
852,Xerneas,37,30,1,26,-7,41,4676
853,Yveltal,37,30,1,26,-7,41,4676
854,Zygarde (50% Forme),19,-1,27,-24,-10,37,3136
855,Zygarde (10% Forme),-35,-1,-23,-44,-20,57,7340
856,Zygarde (Complete Forme),127,-1,27,-14,-10,27,17884
857,Diancie,-39,-1,56,-5,45,-8,6772
858,Diancie (Mega Diancie),-39,59,16,55,5,52,11012
859,Hoopa (Hoopa Confined),-9,9,-34,45,25,12,4112
860,Hoopa (Hoopa Unbound),-9,59,-34,65,25,22,10052
861,Volcanion,-9,9,26,25,-15,12,1832
862,Rowlet,-21,-46,-39,-55,-55,-16,10384
863,Dartrix,-11,-26,-19,-35,-35,-6,3644
864,Decidueye,-11,6,-19,-5,-5,12,712
865,Decidueye (Hisuian Decidueye),-1,11,-14,-10,-10,2,522
866,Litten,-44,-36,-54,-45,-65,12,12542
867,Torracat,-24,-16,-44,-25,-55,32,7442
868,Incineroar,6,14,-4,-25,-15,2,1102
869,Popplio,-39,-47,-40,-39,-49,-18,9576
870,Brionne,-29,-32,-25,-14,-24,-8,3326
871,Primarina,-9,-27,-20,21,11,2,1776
872,Pikipek,-54,-26,-64,-75,-75,7,18987
873,Trumbeak,-34,-16,-44,-65,-55,17,10887
874,Toucannon,-9,19,-19,-30,-30,2,2607
875,Yungoos,-41,-31,-64,-75,-75,-13,18157
876,Gumshoos,-1,9,-34,-50,-45,-13,5932
877,Grubbin,-42,-39,-49,-50,-60,-12,11930
878,Charjabug,-32,-19,1,-50,-30,-22,5270
879,Vikavolt,-12,-31,-4,40,-30,-15,3846
880,Crabrawler,-42,-19,-37,-63,-58,5,10852
881,Crabominable,8,31,-17,-43,-38,-15,4832
882,Oricorio,-14,-31,-24,-7,-35,35,4232
883,Cutiefly,-49,-56,-54,-50,-65,26,15854
884,Ribombee,-29,-46,-34,-10,-35,66,9794
885,Rockruff,-44,-36,-54,-75,-65,2,16002
886,Lycanroc (Midday Form),-14,14,-29,-50,-40,54,8249
887,Lycanroc (Midnight Form),-4,14,-19,-50,-30,24,4549
888,Lycanroc (Dusk Form),-14,16,-29,-50,-40,52,8097
889,Wishiwashi (Solo Form),-44,-81,-74,-80,-80,-18,27097
890,Wishiwashi (School Form),-44,39,36,35,30,-28,7662
891,Mareanie,-39,-48,-32,-62,-53,-13,11671
892,Toxapex,-39,-38,58,-52,37,-23,10931
893,Mudbray,-19,-1,-24,-60,-50,-13,7207
894,Mudsdale,11,24,6,-50,-20,-23,4162
895,Dewpider,-51,-61,-42,-65,-33,-31,14361
896,Araquanid,-21,-31,-2,-55,27,-16,5416
897,Fomantis,-49,-46,-59,-55,-70,-23,16452
898,Lurantis,-19,4,-4,-25,-15,-13,1412
899,Morelull,-49,-66,-39,-40,-30,-43,12627
900,Shiinotic,-29,-56,-14,-15,-5,-28,5207
901,Salandit,-41,-57,-54,-34,-65,19,13588
902,Salazzle,-21,-37,-34,6,-45,59,8508
903,Stufful,-19,-26,-44,-60,-55,-8,9662
904,Bewear,31,24,-14,-50,-45,2,6262
905,Bounsweet,-47,-71,-56,-75,-67,-26,21176
906,Steenee,-37,-61,-46,-65,-57,4,14696
907,Tsareena,-17,19,4,-55,-7,14,3936
908,Comfey,-38,-49,-4,-23,5,42,6179
909,Oranguru,1,-41,-14,-15,5,2,2132
910,Passimian,11,19,-4,-65,-45,22,7232
911,Wimpod,-64,-66,-54,-85,-75,22,24702
912,Golisopod,-14,24,46,-45,-15,-18,5462
913,Sandygast,-34,-46,-14,-35,-60,-43,10142
914,Palossand,-4,-26,16,-5,-30,-23,2402
915,Pyukumuku,-34,-41,36,-75,25,-53,13192
916,Type: Null,6,-6,1,-10,-10,1,274
917,Silvally,6,-6,1,-10,-10,37,1642
918,Minior (Meteor Form),-29,-41,6,-45,-5,2,4612
919,Minior (Core),-29,-1,-34,-5,-45,62,7892
920,Komala,-24,14,-29,-30,-10,7,2662
921,Turtonator,-29,-23,41,-14,-20,-22,4131
922,Togedemaru,-24,-3,-31,-65,-32,38,8239
923,Mimikyu,-34,-11,-14,-55,0,38,5942
924,Bruxish,-21,4,-24,-35,-35,34,4639
925,Drampa,-11,-41,-9,30,-14,-22,3463
926,Dhelmise,-19,30,6,-19,-15,-18,2207
927,Jangmo-o,-44,-46,-29,-60,-60,-13,12262
928,Hakamo-o,-34,-26,-4,-40,-35,7,4722
929,Kommo-o,-14,9,31,-5,0,27,1992
930,Tapu Koko,-19,14,-9,-10,-30,72,6822
931,Tapu Lele,-19,-16,-19,25,10,37,3072
932,Tapu Bulu,-19,29,21,-20,-10,17,2432
933,Tapu Fini,-19,-26,21,-10,25,27,2932
934,Cosmog,-46,-72,-63,-76,-74,-21,22962
935,Cosmoem,-46,-72,37,-76,26,-21,15562
936,Solgaleo,48,36,13,8,-16,39,5610
937,Lunala,48,12,-5,32,2,39,5022
938,Nihilego,20,-48,-47,22,26,45,8098
939,Buzzwole,18,38,45,-52,-52,21,9642
940,Pheromosa,-18,36,-57,32,-68,93,19166
941,Xurkitree,-6,-12,-23,68,-34,25,7114
942,Celesteela,8,0,9,2,-4,3,174
943,Kartana,-30,80,37,-46,-74,51,18862
944,Guzzlord,134,0,-41,-8,-52,-15,22630
945,Necrozma,8,6,7,22,-16,21,1330
946,Necrozma (Dusk Mane Necrozma),8,56,33,8,4,19,4730
947,Necrozma (Dawn Wings Necrozma),8,12,15,52,22,19,3982
948,Necrozma (Ultra Necrozma),8,66,3,62,-8,71,13378
949,Magearna,-9,-6,21,25,10,7,1332
950,Marshadow,1,24,-14,-15,-15,67,5712
951,Poipole,-22,-28,-27,-32,-38,15,4690
952,Naganadel,-16,-28,-21,22,-32,63,6958
953,Stakataka,-28,30,117,-52,-4,-45,20118
954,Blacephalon,-36,26,-41,46,-26,49,8846
955,Zeraora,-1,11,-19,-3,-25,85,8342
956,Meltan,-43,-36,-29,-50,-70,-24,11962
957,Melmetal,46,42,49,-25,-40,-24,9082
958,Grookey,-39,-36,-44,-65,-65,7,13252
959,Thwackey,-19,-16,-24,-50,-45,22,6202
960,Rillaboom,11,24,-4,-45,-35,27,4692
961,Scorbunny,-39,-30,-54,-65,-65,11,13908
962,Raboot,-24,-15,-34,-50,-45,36,7778
963,Cinderace,-9,15,-19,-40,-30,61,6888
964,Sobble,-39,-61,-54,-35,-65,12,13752
965,Drizzile,-24,-41,-39,-10,-50,32,7402
966,Inteleon,-19,-16,-29,20,-40,62,7302
967,Skwovet,-19,-46,-39,-70,-70,-33,14887
968,Greedent,31,-6,1,-50,-30,-38,5842
969,Rookidee,-51,-54,-59,-72,-70,-1,19083
